node_1,node_2,edge
Non-linear F-Design,G-optimal design,generalization of
F-Design,G-design,coincides with in linear case
F-Design,F-condition number,value of optimal design termed
F-Design,interactive machine learning,employed in
F-Design,data collection,useful for
F-Design,exploration,useful for
F-Design,confidence band construction,applied in
F-Design,contextual bandits,applied in
F-Design,model-free reinforcement learning,applied in
F-Design,active learning,applied in
experimental design,statistics,foundational area in
experimental design,machine learning,foundational area in
experimental design,learner,allows to choose distribution
experimental design,distribution over input space,allows learner to choose
experimental design,efficient data collection,forms bedrock of
experimental design,learning in sample-constrained scenarios,forms bedrock of
experimental design,active learning,key component of
experimental design,bandits,key component of
experimental design,reinforcement learning,key component of
experimental design,machine learning algorithms,key component of
classical theory of experimental design,generalized linear functions,well-developed when data modeled using
experimental design,optimal design,target is to obtain closed-form expressions or bounds for
experimental design,small subset of data,aims to select
experimental design,subset of inputs,aims to select a small subset of inputs for querying
subset of inputs,extrapolation,enables approximate extrapolation to the rest of the domain
function class,subset of inputs,subset serves as a basis tailored to the function class
linear structure,Euclidian basis,Euclidian basis is sufficient and optimal for linear function classes
non-linear functions,minimal set of inputs,finding minimal set is non-trivial for non-linear functions
non-linear experimental design,local design criteria,often focuses on local or asymptotic design criteria
local design criteria,Taylor expansions,uses Taylor expansions to reduce local design to a linear problem
local region,optimal solution,assumes functions are localized to a small neighborhood of the optimal solution
stringent assumption,local region,availability of a local region is a stringent assumption in practice
interactive ML,no prior knowledge,"often starts with no prior knowledge, making local assumptions problematic"
