node_1,node_2,edge
Stochastic Gradient Descent (SGD),global minimum,reaches
Stochastic Gradient Descent (SGD),non-convex loss function,optimizes
global convergence time,Stochastic Gradient Descent (SGD),characterizes
large deviations theory,global convergence time,provides bounds for
randomly perturbed dynamical systems,Stochastic Gradient Descent (SGD),models
upper and lower bounds,global convergence time,match
obstacles,global minimizer,impede reaching
global geometry,loss landscape,influences
noise,Stochastic Gradient Descent (SGD),enters process
step-size,Stochastic Gradient Descent (SGD),parameter of
stochastic approximation,gradient,approximates
Robbins & Monro,Stochastic Gradient Descent (SGD),introduced
Kiefer & Wolfowitz,Stochastic Gradient Descent (SGD),introduced
deep neural networks,loss functions with shallow local minima,motivates analysis of
Wolfowitz,stochastic gradient descent (SGD),introduced the method in the context of solving systems of nonlinear equations
stochastic gradient descent (SGD),vanishing step-size η_n,involves
vanishing step-size η_n,L2-L1 summability conditions,satisfies
L2-L1 summability conditions,ODE method of stochastic approximation,gave rise to
stochastic gradient descent (SGD),Ljung,first convergence results obtained by
stochastic gradient descent (SGD),Benaïm,first convergence results obtained by
stochastic gradient descent (SGD),Bertsekas & Tsitsiklis,first convergence results obtained by
stochastic gradient descent (SGD),almost sure convergence,established
almost sure convergence,non-convex problems,applies to
Pemantle,stochastic gradient descent (SGD),showed avoids saddle points with probability 1
Brandière & Duflo,stochastic gradient descent (SGD),showed avoids saddle points with probability 1
stochastic gradient descent (SGD),local minimizers of f,converges to
modern machine learning,non-convex problems,hinges on solving
non-convex problems,stochastic gradient descent (SGD),solved by
SGD,constant step-size,run with
SGD,trajectories,"do not converge, wander around state space"
SGD,critical points of f,spends most time near
criticality bounds,SGD,quantify behavior of
criticality bounds,small gradient norm,certify output with
saddle-point avoidance results,SGD,supplement results for
saddle-point avoidance results,second-order optimal output,imply approximately
SGD,local minimality,guarantees at best
SGD,global minimum,aims to approximate vicinity of
