node_1,node_2,edge
1D image tokenizer,highly compressed one-dimensional sequences,produces
1D image tokenizer,vector quantization,uses
high degree of compression,image editing and generative capabilities,enables
heuristic manipulation of tokens,image editing,enables
copying and replacing tokens,latent representations of images,transfers appearance and semantic attributes between
1D tokenizer’s latent space,image generation pipeline,motivates construction of
image generation pipeline,gradient-based test-time optimization of tokens,leverages
gradient-based test-time optimization of tokens,plug-and-play loss functions,uses
plug-and-play loss functions,reconstruction or CLIP similarity,includes examples like
approach,inpainting and text-guided image editing,demonstrated for
approach,diverse and realistic samples,generates
approach,training of any generative model,does not require
standard modern image generation pipeline,tokenizer,consists of
tokenizer,autoencoder,is a type of
autoencoder,compact latent space,embeds image into
image generation pipeline,tokenizer,consists of
tokenizer,autoencoder,is a type of
autoencoder,latent space,embeds image into
image generation pipeline,generative model,consists of
generative model,latent space,operates on
generative model,iterative refinement,leverages
iterative refinement,diffusion,includes method
iterative refinement,autoregression,includes method
iterative refinement,masked modeling,includes method
1D tokenizers,latent space,produces highly compressed
highly compressed latent space,generation performance,improves
TiTok 1D tokenizer,1D tokenizers,is an example of
pretrained tokenizer,generative tasks,can perform
generative tasks,text-guided editing,includes
generative tasks,inpainting,includes
test-time optimization,tokens,uses
test-time optimization,CLIP similarity,uses objective
test-time optimization,reconstruction objectives,uses objective
highly compressed latent spaces,generation performance,provide significant leverage in improving
TiTok 1D tokenizer,runtime reduction,achieves an order of magnitude
TiTok 1D tokenizer,sample quality,does not compromise
image,discrete tokens,represented in as few as 32
scaling image tokenizers,higher compression ratios,requires
powerful decoders,generative models,may themselves be viewed as
tokenizer,single discrete token,encodes an image into
decoder,generative modeling task,is faced with
single-token tokenizer,generative model,can be used as
image,random token,generated by sampling
1D tokenizers,generative models,can be viewed as
latent space manipulations of tokens,image editing capabilities,result in
image editing capabilities,generative models,typically associated with
latent space of 1D tokens,image editing,enables
