node_1,node_2,edge
Bayesian optimization,BARK,uses
BARK,Bayesian Additive Regression Trees,based on
BARK,tree agreement,defines posterior using
BARK,Markov chain Monte Carlo,explores tree kernels using
BARK,Gaussian processes,obtains samples of
BARK,acquisition functions,builds for Bayesian optimization
BARK,global optimization,enables
BARK,mixed-feature spaces,works for
BARK,uncertainty quantification,provides over tree structure
BART,functions,samples
BARK,BART,extends
Bayesian optimization (BO),probabilistic surrogate model,relies on
probabilistic surrogate model,belief and uncertainty about the black-box function,models
Gaussian processes (GPs),probabilistic surrogate model,is a class of
Gaussian processes (GPs),kernel,most important hyperparameter is
kernel,covariance structure,defines
squared exponential kernel,kernel,is a type of
Matérn kernel,kernel,is a type of
squared exponential kernel,continuous inputs,limited to
Matérn kernel,continuous inputs,limited to
tree regression,flexible model,is a
tree regression,mixed inputs,allows for
tree regression,non-stationary functions,can model
tree model,domain splits,defines a sequence of
tree model,leaf node,reaches
leaf node,predictive model,assigns a value to
forest,ensemble of trees,is an
leaf node,predictive model,assigns a value to
forest,ensemble of trees,is an
tree,weak learner,regularized to be a
tree models,Bayesian optimization (BO),have limited application to
tree models,explicit uncertainty quantification,lack
tree models,empirical variance,rely on
ensemble of m trees,tree agreement,defines function for
tree agreement,valid kernel,used to construct
valid kernel,Gaussian process (GP),used in
tree models,Bayesian optimization,used in applications requiring well-calibrated estimates
tree kernel,two-step fitting process,previously used with
two-step fitting process,tree model,first fits
two-step fitting process,GP,then trains
tree structure,infinite number of parameters,has
tree structure,overfitting,at risk of
Bayesian tree methods,overfitting challenge,impose approach to overcome
