node_1,node_2,edge
Elman-type Recurrent Neural Networks (RNNs),mean-field regime,analyzed in
gradient descent training dynamics,mean-field formulation,converges to in large width limit
fixed points,limiting infinite-width dynamics,are globally optimal under assumptions
wide RNNs,mean-field regime,achieve optimality for feature-learning
Neural networks,function approximators,is a type of
Neural networks,time series analysis,revolutionized
Neural networks,learning dynamical systems,applied to
Recurrent Neural Networks (RNNs),neural networks,is a subtype of
Long-Short Term Memory (LSTM) RNNs,Recurrent Neural Networks (RNNs),is a subtype of
Gated Recurrent Units,Recurrent Neural Networks (RNNs),is a subtype of
Recurrent Neural Networks (RNNs),predictive performance,increased
Recurrent Neural Networks (RNNs),temporal sequences,takes as input
Recurrent Neural Networks (RNNs),temporal sequences,take as input
Recurrent Neural Networks (RNNs),hidden state,stores information about previous timepoints
Recurrent Neural Networks (RNNs),time-correlated datasets,learns using relatively few parameters
Recurrent Neural Networks (RNNs),state-of-the-art time-series learning algorithms,provides benchmarks for
Recurrent Neural Networks (RNNs),theoretical underpinnings,remain elusive
overparametrized regime,neural network performance,questions about theoretical reasons for
"wide, single-layer neural networks",theory of neural network learning,context of emerging theory
mean-field training dynamics,theoretical framework,is one of two main frameworks
linearized dynamics,theoretical framework,is one of two main frameworks
mean-field training dynamics,linearized dynamics,provide contrasting explanations for neural network success
