node_1,node_2,edge
Neural networks,stochastic gradient descent (SGD),use to extract features from data
Neural networks,higher-order input cumulants (HOCs),extract information from
higher-order input cumulants (HOCs),performance,crucial for
extracting information from pth cumulant,computationally hard,is
number of samples required to recover a single direction from an order-p tensor,dp−1,grows as
correlations between latent variables,learning from higher-order correlations,speed up
single neuron,online SGD,uses to weakly-recover directions from a random start
nearly sharp thresholds for number of samples,single neuron,required by
analytical results,simulations of two-layer neural networks,confirmed in
analytical results,new mechanism for hierarchical learning,unveil
data distribution,cumulants,decomposed into
cumulants,mean,first cumulant is
cumulants,pair-wise correlations,second cumulant describes
cumulants,higher-order cumulants (HOCs),includes
higher-order cumulants (HOCs),correlations between three or more variables,encode
higher-order cumulants (HOCs),image classification,important for
higher-order cumulants (HOCs),test accuracy,removing HOCs causes drop in
higher-order cumulants (HOCs),stochastic gradient descent (SGD),extracting information from HOCs with SGD is computationally hard
tensor PCA,higher-order cumulants (HOCs),example of extracting information from
tensor PCA,spike u,aims to recover
tensor PCA,order-p tensor T,uses
order-p tensor T,order-p cumulant of inputs,could be
order-p tensor T,signal-to-noise ratio (SNR) β,modelled with
online SGD,single neuron,requires number of samples
online SGD,single neuron,used to recover u with sample complexity n ≳ d^{p-1}
smoothing the loss landscape,sample complexity,reduces to n ≳ d^{p/2}
Correlational Statistical Query bounds (CSQ),sample complexity,suggests exponential in p sample complexity
supervised learning,sample complexity,requires n ≳ d^2 to strongly distinguish two classes
low-degree conjecture,polynomial-time algorithms,covers wide class of algorithms with quadratic sample complexity
two-layer neural networks,binary classification task,require quadratic sample complexity to learn
higher-order correlations (HOCs),neural networks,important for performance and picked up efficiently
theoretical difficulty of learning from HOCs,importance of HOCs for neural network performance,apparent contradiction
