node_1,node_2,edge
GAPrompt,Point Prompt,includes as a component
GAPrompt,Point Shift Prompter,includes as a component
GAPrompt,Prompt Propagation mechanism,includes as a component
Point Prompt,point cloud,serves as auxiliary input alongside
Point Prompt,geometric details,captures
Point Shift Prompter,global shape information,extracts
Point Shift Prompter,point cloud,extracts information from
Point Shift Prompter,geometric adjustments,enables
Prompt Propagation mechanism,shape information,incorporates into feature extraction
Prompt Propagation mechanism,geometric characteristics,strengthens ability to capture
GAPrompt,3D vision models,enhances adaptability of
GAPrompt,PEFT methods,outperforms
GAPrompt,PEFT methods,outperforms
GAPrompt,trainable parameters,utilizes only 2.19% of
GAPrompt,ScanObjectNN,evaluated on
GAPrompt,Point-FEMAE,based on pre-trained
3D point cloud data,geometric representation,is an irregular and unstructured
scanning sensor devices,3D point cloud data,facilitates acquisition of
3D point cloud data,3D vision applications,propels development of
3D vision applications,3D reconstruction,includes
3D vision applications,autonomous driving,includes
pre-trained 3D vision models,GAPrompt,used by
pre-trained 3D vision models,point cloud data,process
pre-trained 3D vision models,downstream 3D tasks,applied to
full fine-tuning,pre-trained model,fine-tunes entire
full fine-tuning,computational costs,incurs substantial
full fine-tuning,labeled data,necessitates large quantity of
catastrophic forgetting,pre-trained model,risk of losing knowledge from
parameter-efficient fine-tuning (PEFT),pre-trained model,freezes and adapts
PEFT,newly added modules,fine-tunes only
PEFT,distribution gap,bridges between pre-training and downstream tasks
Prompt Tuning,PEFT,is a strategy of
Adapter Tuning,PEFT,is a strategy of
GAPrompt,3D vision model,adapts
GAPrompt,point cloud,uses geometry-aware prompt for
