node_1,node_2,edge
MILS,Multimodal Iterative LLM Solver,is an acronym for
MILS,LLMs,is a method that leverages
MILS,multi-step reasoning,leverages innate ability of LLMs for
MILS,candidate outputs,prompts LLM to generate
MILS,zero-shot image captioning,establishes state-of-the-art on
MILS,zero-shot video captioning,establishes state-of-the-art on
MILS,zero-shot audio captioning,establishes state-of-the-art on
MILS,text-to-image generation,applies to improve
MILS,style transfer,enables prompt editing for
MILS,cross-modal arithmetic,enables applications like
MILS,gradient-free optimization,is a
MILS,multimodal embeddings,can invert into text
LLMs,test-time reasoning,have ability for
OpenAI O1,reinforcement learning,trained using
OpenAI O1,test-time compute,leverages for better results
test-time compute,Chain-of-Thought (CoT) reasoning,is a form of
Chain-of-Thought (CoT) reasoning,LLMs,improves performance of
MILS,LLMs,uses as GENERATOR
MILS,off-the-shelf multimodal model,uses as SCORER
GENERATOR,candidate solutions,proposes
SCORER,candidate solutions,evaluates quality of
SCORER,GENERATOR,provides feedback to
MILS,iterative process,uses
iterative process,convergence,runs until
MILS,GENERATOR,uses
MILS,SCORER,uses
MILS,multimodal captioning,tackles task
MILS,generation,tackles task
MILS,editing,tackles task
MILS,multimodal arithmetic,tackles task
MILS,zero-shot capabilities,exhibits
MILS,image captioning,used for
GENERATOR,Llama LLM,is a
SCORER,CLIP,is a
prior work,specialized models,uses
prior work,trained on curated data,requires
zero-shot image captioning models,paired image-caption data,trained on
CLIP,image-text data,trained on
vision language models,CLIP,leverage as initialization
vision language models,post-training on curated captioning data,require
some captioning approaches,specific modality,limited to
some captioning approaches,specific task,limited to
