node_1,node_2,edge
Bayesian optimization,function networks,optimizes
function networks,objective function,composed of
Bayesian optimization of function networks,performance improvements,yields
existing BOFN algorithms,full network,evaluates
real-world applications,evaluating nodes individually,allow
knowledge gradient acquisition function,node and corresponding inputs,chooses which to evaluate
knowledge gradient acquisition function,query costs,reduces
partial evaluations,network,evaluates part of
cost-aware optimization,function networks,enables
Bayesian optimization,function networks,is applied to optimize
Bayesian optimization,hyperparameter tuning,is used for
Bayesian optimization,materials design,is used for
Bayesian optimization,vaccine manufacturing,is used for
Bayesian optimization,pharmaceutical product development,is used for
function networks,manufacturing,is exemplified in
function networks,epidemic model calibration,is used in
function networks,machine learning pipeline optimization,is used in
function networks,robotic control,is used in
function network,parent nodes,takes input from outputs of
raw material x1,intermediate part y1,produces
process f1,intermediate part y1,produces
raw material x2,intermediate part y2,produces
process f2,intermediate part y2,produces
intermediate part y1,process f3,input to
intermediate part y2,process f3,input to
raw material x3,process f3,input to
process f3,final product y3,produces
design parameters x,"intermediate outputs y1, y2",utilized to decide evaluation
partial evaluations,function network,exploits ability to evaluate subset of nodes
evaluation cost,node f1,"varies across nodes, e.g., cheaper than f2"
evaluation cost,node f2,"varies across nodes, e.g., more expensive than f1"
