node_1,node_2,edge
Stochastic Interpolants,Data-Dependent Couplings,uses
Generative models,dynamical transport of measure,inspired by
dynamical transport of measure,continuous-time map,constructs
continuous-time map,two probability densities,maps between
target density,samples,accessible through
base density,data-agnostic,is
Stochastic Interpolants,couple the base and the target densities,formalizes how to
base density,target density,coupled with
samples from the base,samples from the target,computed conditionally given
dynamical transport maps,conditional generative models,serve as
transport maps,square loss regression problem,learned by solving
square loss regression problem,standard independent setting,analogous to
dependent couplings,super-resolution,demonstrated in
dependent couplings,in-painting,demonstrated in
flows and diffusions,target density ρ1,sample from
flows and diffusions,base density ρ0,transform samples from
ordinary differential equation (ODE),flows and diffusions,used to accomplish transport
stochastic differential equation (SDE),flows and diffusions,used to accomplish transport
base density ρ0,standard Gaussian,typically taken as
score-based diffusion,Gaussian base density,intrinsically tied to
flow matching,Gaussian base density,not intrinsically tied to
rectified flow,Gaussian base density,not intrinsically tied to
stochastic interpolants,Gaussian base density,not intrinsically tied to
rectified flow,Gaussian base,does not require but often chooses for convenience
stochastic interpolants,Gaussian base,does not require but often chooses for convenience
Gaussian base,prior knowledge,represents absence of
stochastic interpolants,base density,produces via a coupling
base density,target,computed conditionally given samples from
continuous-time stochastic process,coupled base,interpolates between
continuous-time stochastic process,target,interpolates between
transport,continuity equation,characterized by identification of
velocity field,square loss regression problem,estimated by solution of
square loss regression problem,flow matching algorithms,analogous to
stochastic interpolants,data-dependent couplings,allows for
external source of information,ξ,called
"velocity field bt(x, ξ)",class-conditional generation,can be used for
"velocity field bt(x, ξ)",generation conditioned on continuous embedding,can be used for
