node_1,node_2,edge
Nonlinear dynamical systems,Time series measurements,accessed through
Time series measurements,Discrete random variables,may consist of
Time series measurements,Continuous measurements,may consist of
Multimodal data integration,Dynamical systems reconstruction (DSR),hardly considered in context of
Multimodal variational autoencoder,Sparse teacher signal,generates
Sparse teacher signal,Reconstruction model,guides training of
Multimodal data integration,Common latent dynamics space,connects observations within
Symbolic data (class labels),Reconstruction,enables from
latent dynamics space,multimodal data integration,contrasted with
framework,generative,is
framework,trajectories,produces
trajectories,ground truth system,have same geometrical and temporal structure as
dynamical systems,time series observations,recovered from
machine learning methods,dynamical systems,recover
complex systems,generating dynamical mechanisms,have limited knowledge about
inferring dynamical mechanisms,data,core interest in scientific disciplines
predicting changes,system dynamics,relevant for
tipping points,climate systems,example of changes in
machine learning (ML) methods,dynamical systems (DS),used for recovering
time series observations,dynamical systems (DS),used to recover
recurrent neural networks (RNNs),dynamical systems (DS),approximate the flow of
time series data,discrete random processes,can come from
discrete random processes,class labels or counts,include
time series data,continuous signals with Gaussian noise,assumed to be in most methods
medical domain,electronic health records,includes
medical domain,smartphone-based data,includes
neuroscience,behavioral responses,includes
climate science,event counts,includes
massive data acquisition techniques,multiple different types of data channels,provide
data channels,different statistical properties,have
