node_1,node_2,edge
multivariate Gaussian distribution,PAC learning,is learned in the setting of
multivariate Gaussian distribution,sample complexity,has sample complexity that depends on
sample complexity,advice quality,decreases as
advice,true distribution,is potentially inaccurate approximation of
learning-augmented algorithms,distribution learning,is a framework for
multivariate Gaussian distribution,mean μ,is parameterized by
multivariate Gaussian distribution,covariance Σ,is parameterized by
advice,covariance Σ̃,provides parameter
sample complexity,dimension d,depends on
sample complexity,TV distance ε,depends on
advice-free setting,sample complexity,has lower bound of Θ̃(d²/ε²)
advice-augmented setting,sample complexity,achieves Õ(d^(2-β)/ε²) when advice is good
advice quality,condition ∥Σ̃^(-1/2) Σ Σ̃^(-1/2) - I_d∥₁ ≤ ε d^(1-β),is measured by
distribution learning,statistics,studied for more than a century in
distribution learning,applied machine learning,underlying engine for
high-dimensional distributions,curse of dimensionality,goal to escape
distribution learning,high-dimensional distributions,focus on in modern applications
distribution learning,Diakonikolas (2016) survey,overview of techniques given by
distribution learning,worst case sample complexities,go beyond
distribution learning,imperfect advice,aided by
imperfect advice,input distribution,regarding
algorithms with predictions,input distribution,supplemented by predictions or advice regarding
algorithms with predictions,predictions,supplemented by
algorithms with predictions,advice,supplemented by
advice,machine learning models,potentially drawn from
algorithm,advice,incorporates to improve performance
high quality advice,performance improvement,leads to
inaccurate advice,performance degradation,should not cause below no-advice setting
algorithms with predictions,online algorithms,most previous works are in context of
online algorithms,ski-rental problem,example application
online algorithms,non-clairvoyant scheduling,example application
online algorithms,scheduling,example application
online algorithms,data structures with predictions,example application including indexing and Bloom filters
online algorithms,online selection and matching problems,example application
online algorithms,online TSP,example application
online algorithms,online primal-dual algorithms,example application
algorithms with predictions,graph algorithms,recent application
algorithms with predictions,causal learning,recent application
algorithms with predictions,mechanism design,recent application
