node_1,node_2,edge
robust neural representations,non-robust neural representations,functionally similar
model stitching,internal representations of neural networks,aligns linearly
adversarially robust networks,non-robust networks,have different representations
robust image classifiers,non-robust networks,are invertible vs. not invertible
robust and non-robust representations,accuracy,compatible regarding
robust accuracy,compatibility,decreases quickly after first few layers
representations,last layers,become compatible again
stitching in initial preprocessing layers,stitching in final abstract layers,test different kinds of compatibilities
final layers,abstract task specification,representations depend mostly on
final layers,abstract task specification,depend on
abstract task specification,classification of the input into n classes,specifies
internal representations,neural networks,are representations of
Centered Kernel Alignment (CKA),statistical approaches,is based on
Canonical Correlation Analysis (CCA),statistical approaches,is a variant of
model stitching,functional similarity,concentrates on
representation of one network,representation of another network,can substitute
simple transformation,representation substitution,enables
functional similarity,classification accuracy,is related to
functional similarity,statistical measures of similarity,does not necessarily correlate with
internal representations,functional similarity,are surprisingly compatible in a large number of different scenarios
adversarially robust networks,non-robust networks,have functionally different representations
robust networks,non-robust networks,are invertible as opposed to
robust networks,non-robust networks,rely on an entirely different feature set
robust networks,non-robust networks,cluster their representations differently
model stitching,differences between robust and non-robust representations,sheds more light on
model stitching,function of each layer,allows insight into
model stitching,accuracy,studies
model stitching,robust accuracy,studies
adversarially robust networks,non-robust networks,question of functional similarity investigated via model stitching
