node_1,node_2,edge
Cardinality sketches,data structures,are
Cardinality sketches,randomized representations of sets,are
Cardinality sketches,logarithmic size,have
Cardinality sketches,set merges,support
Cardinality sketches,approximate cardinality queries,support
approximate cardinality queries,distinct count,also known as
queries,adaptive settings,can be used in
adaptive settings,vulnerabilities,reveal
attack,adversarial input,constructs
attack,standard estimators,targets
attack,non-adaptive queries,uses
non-adaptive queries,linear in sketch size k,have size
HyperLogLog (HLL++),cardinality sketch,is a type of
attack,HyperLogLog (HLL++),used 4k queries on
vulnerability,any estimator,is inherent in
any estimator,known sketch structures,applied to
attack,quadratic in k,requires number of queries
composable sketches,cardinality estimation,used for
composable sketches,data structures,are
sketch,set,compact representation of
sketch,merge,supports
sketch,set union,supports
sketch,adding elements,supports
sketch,retrieval of approximate cardinality,supports
sketch size,cardinality of queries,logarithmic or double logarithmic in
Bloom filters,linear size data structures,are
sketch map,universe U,mapping from sets of keys to sketch
sketch map,estimator M,used with to recover cardinality estimate
Normalized Root Mean,common guarantee,is a bound on
cardinality sketch,set U,estimates cardinality of
estimator M,sketch Sρ(U),applied to
sketch Sρ(U),set U,represents
Normalized Root Mean Squared Error (NRMSE),accuracy parameter ϵ,bounded by
sketch Sρ,composability,designed for
composability,streaming applications,useful for
composability,distributed applications,useful for
composability,parallel applications,useful for
internal randomness ρ,composability,necessary for
random hash functions,keys in universe,randomly prioritizes
sketch of set U,lowest priorities of keys,keeps
cardinality |U|,presence of lower priority keys,indicated by
technique of random prioritization,Flajolet & Martin (1985),introduced by
technique of random prioritization,Cohen (1997),introduced as composable sketches by
core idea of sampling keys based on random order,reservoir sampling,emerged in
reservoir sampling,Knuth (1998),attributed to
