node_1,node_2,edge
Continuous-Discrete Kalman Filter (CD-KF),State-Space Models (SSMs),applied to
Continuous-Discrete Kalman Filter (CD-KF),continuous-time dynamics,filters
Continuous-Discrete Kalman Filter (CD-KF),"discrete, irregularly timed measurements",processes
measurement process,auxiliary SSM,coupled with states of
measurement occurrences,independent Poisson processes,modeled as
independent Poisson processes,sensor-specific rates,have
mean posterior covariance matrix,CD-KF,upper bound derived for
mean posterior covariance matrix,mean auxiliary state,computed along
upper bound,measurement rates,continuously differentiable with respect to
finite-horizon optimal control framework,measurement rates,optimizes
finite-horizon optimal control framework,auxiliary-state dynamics,optimizes
deterministic method,scheduling measurement times,introduced for
scheduling measurement times,optimized rates,derived from
sensor,costs and constraints,carries
sensor,measurement rate,associated with
deterministic method,scheduling measurement times,used for
scheduling measurement times,optimized rates,derived from
empirical results,state-space filtering,demonstrate approach in
empirical results,dynamic temporal Gaussian process regression,demonstrate approach in
approach,improved trade-offs,achieves
improved trade-offs,resource usage,between
improved trade-offs,estimation accuracy,between
State-space models (SSMs),sequential inference challenges,address
State-space models (SSMs),time-series forecasting,used in
State-space models (SSMs),signal processing,used in
State-space models (SSMs),dynamic systems,used in
Bayesian filtering,posterior distribution,computes
posterior distribution,latent states,of
Kalman filter (KF),linear systems,optimal for
Extended Kalman Filter (EKF),nonlinear dynamics,used for
Unscented Kalman Filter (UKF),nonlinear dynamics,used for
Continuous-Discrete Kalman Filter (CD-KF),continuous-time state evolution,focuses on
Continuous-Discrete Kalman Filter (CD-KF),continuous-time state evolution,models
Continuous-Discrete Kalman Filter (CD-KF),discrete measurements,processes
continuous-time state evolution,discrete measurements,observed via
discrete measurements,multiple sensors,obtained from
multiple sensors,distinct costs,operate under
multiple sensors,conditions,operate under
multiple sensors,constraints,operate under
measurement process,auxiliary dynamics,coupled to
auxiliary dynamics,sensor temperature,includes
auxiliary dynamics,spatial position,includes
auxiliary dynamics,stored energy,includes
low-orbit satellite,terrestrial phenomena,observes
low-orbit satellite,high-resolution sensors,has
low-orbit satellite,radar-based sensors,has
high-resolution sensors,daylight periods,accurate during
radar-based sensors,energy-intensive,is
radar-based sensors,less accurate,is
glucose monitoring setup,diabetic patient,used by
glucose monitoring setup,continuous glucose monitor,includes
glucose monitoring setup,intermittent finger-prick tests,includes
continuous glucose monitor,noisy measurements,provides
continuous glucose monitor,frequently sampled measurements,provides
intermittent finger-prick tests,higher accuracy,offers
intermittent finger-prick tests,patient discomfort,causes
