node_1,node_2,edge
Federated Learning (FL),Differential Privacy (DP),FL solutions use central DP or distributed DP for privacy
Distributed Matrix Mechanism,Federated Learning (FL),introduced to achieve better privacy and utility in FL
Distributed Matrix Mechanism,Differential Privacy (DP),achieves distributed DP with improved utility
Matrix Mechanism,Federated Learning (FL),improves utility in central DP FL solutions
Cryptographic Protocol,Distributed Matrix Mechanism,enables secure transfer of sensitive values across client committees
Client Committees,Training Iterations,sensitive values are transferred across committees of different iterations
Constant Communication Overhead,Cryptographic Protocol,protocol achieves constant communication overhead
Dynamic Participation,Federated Learning (FL),FL requires dynamic participation of users
Dropout,Cryptographic Protocol,protocol accommodates users that may drop out
Utility,Distributed Matrix Mechanism,mechanism significantly improves utility of FL models
Federated Learning (FL),central server,sends current model parameters to
central server,committee,sends model parameters to
committee,Stochastic Gradient Descent (SGD),executes locally to obtain gradients
gradients,central server,aggregated and sent to
Federated Learning (FL),differential privacy (DP),main privacy metric is
differential privacy (DP),user participation,guarantees cannot tell whether
central DP,central server,receives aggregated gradients from clients
central server,Secure Aggregation protocol,may use to receive aggregated gradients
Central DP,Federated Learning (FL),is applied in
Central DP,matrix mechanism,uses techniques from
Secure Aggregation protocol,clients,used by
Secure Aggregation protocol,server,releases aggregated gradients to
Distributed DP,Secure Aggregation protocol,utilizes
Distributed DP,server,holds with respect to
Distributed DP,sensitive data,important for
server,DP noise,adds to aggregated gradients
clients,DP noise,add to their gradients
gradients,Secure Aggregation protocol,aggregated by
