node_1,node_2,edge
Generalization on the Unseen (GOTU),out-of-distribution generalization,is a strong case of
Generalization on the Unseen (GOTU),logical (Boolean) functions,is studied in the context of learning
network architectures,Generalization on the Unseen (GOTU),perform under
Transformers,network architectures,is an instance of
random features models,network architectures,is an instance of
diagonal linear networks,network architectures,is an instance of
min-degree-interpolator,unseen data,is learned on
leaky min-degree solutions,mean-field networks,are reached by
length generalization problem,Generalization on the Unseen (GOTU),is explained by findings on
Degree-Curriculum,curriculum learning algorithm,is a type of
Degree-Curriculum,monomials,learns more efficiently by incrementing supports
stochastic gradient descent (SGD),neural networks,trains
Neural networks,stochastic gradient descent (SGD),trained by
stochastic gradient descent (SGD),learning paradigm,is a
Neural networks,images,applied to
Neural networks,text,applied to
reasoning tasks,perception tasks,depart from
reasoning tasks,arithmetic and algebra,includes
reasoning tasks,"synthetic tasks (PVR, LEGO)",includes
reasoning tasks,visual reasoning (CLEVR),includes
reasoning tasks,physical reasoning (Phyre),includes
reasoning tasks,algorithmic data (CLRS),includes
reasoning tasks,reasoning on graphs,includes
reasoning tasks,discrete/combinatorial input space,characterized by
discrete/combinatorial input space,low dimensional manifold,does not necessarily lay on
low dimensional manifold,input space,is a subset of
input space,variable length,can have
combinatorial nature,text,present in
combinatorial nature,arithmetic,amplified in
target function,logical steps,relies on
target function,mathematical operations,relies on
reasoning tasks,abundant representative data,less prominent in
reasoning tasks,out-of-distribution (OOD) generalization,motivates focus on
arithmetic functions,bounded length,learned on training set with
logic functions,bounded number of truth assignments,learned on training set with
neural network,length generalization,tested for
Boolean formula,voting scheme,example of
voting scheme,polarized cohort of voters,trained on data from
neural network,unpolarized cohort,generalizes to
holdout domain,distribution support,part of is barely/never seen
target functions,Boolean,are
Boolean target functions,discrete and combinatorial nature,capture
reasoning tasks,arithmetic,includes
reasoning tasks,decision trees,includes
reasoning tasks,logical circuits,includes
learning under holdout,first vignette,gives
