node_1,node_2,edge
Dynamic Algorithm,Weighted Submodular Cover Problem,solves
Submodular Cover Problem,dynamic setting,studied in
Submodular Cover Problem,monotone submodular function,defined by
Submodular Cover Problem,Set Cover problem,generalizes
Submodular Cover Problem,2-Set Cover,generalizes
Submodular Cover Problem,dominating set problem,generalizes
dynamic setting,insertions and deletions,involves
dynamic setting,ground set V,updates to
randomized algorithm,bicriteria approximation,achieves
bicriteria approximation,"(1 − O(ϵ), O(ϵ−1))",has ratio
randomized algorithm,polylogarithmic query complexity,has
Submodular optimization,data summarization,applied to
Submodular optimization,active learning,applied to
Submodular optimization,network inference,applied to
Submodular optimization,video analysis,applied to
Submodular optimization,facility location,applied to
Submodular cover problem,Wolsey,introduced by
submodular cover problem,set cover problem,generalizes
submodular cover problem,2-set cover,generalizes
submodular cover problem,dominating set,generalizes
submodular cover problem,submodular maximization problem,is dual of
submodular cover problem,minimize sum of weight of selected elements,objective is
submodular cover problem,submodular function constraint,subject to
submodular cover problem,ground set,depends on access to
submodular maximization,streaming setting,studied in
submodular maximization,distributed setting,studied in
submodular maximization,dynamic setting,studied in
submodular cover,distributed setting,studied in
submodular cover,streaming setting,studied in
submodular cover,scalable setting,studied in
submodular cover,dynamic setting,considered in
dynamic setting,elements inserted and deleted,characterized by
dynamic setting,approximately optimal solution,goal to maintain
offline algorithm,dynamic setting,can be rerun after each update
dynamic setting,small update time per query,goal to achieve
