node_1,node_2,edge
Gradient Descent,Logistic Regression,applied to
Gradient Descent,linear convergence,achieves
variable learning rate,Gradient Descent,used by
logistic regression objective,loss function,is a
strong convexity,linear convergence,generally required for
logistic loss,strong convexity,lacks
first-order methods,logistic regression,used for
sparse logistic regression,logistic regression,variant of
sparsity-error tradeoff,sparse logistic regression,improved in
error ε,number of iterations,decays exponentially with
error ε,magnitude of entries of solution x*,decays polynomially with
strong convexity property,logistic loss,satisfies only in a bounded set of solutions around zero
logistic loss,ℓ2 loss,contrasted with
logistic loss,exponential runtime dependency,introduces
exponential runtime dependency,magnitude of the target solution,depends on
high-precision solutions,logistic regression,obstacle to obtaining
gradient descent,function value convergence,has poly(1/T) bound for
separability of the data,convergence,significant for
greedy coordinate descent,linear convergence,achieves
exponential loss,logistic loss,studied together for separable data
separable data,greedy coordinate descent,initiated by
greedy coordinate descent,linear convergence,achieves
linear convergence,maximum linear classification margin,depends on
maximum linear classification margin,hard SVM margin,also known as
logistic regression,2m dependence,has
2m dependence,number of examples,depends on
Telgarsky (2013),exponential loss,refines results for
logistic regression,exponential overhead,suffers from
exponential overhead,multiplicative discrepancy,originates from
multiplicative discrepancy,exponential loss,between
multiplicative discrepancy,logistic loss,between
logistic regression experiments,theory,paints more favorable picture than
gradient descent,maximum-margin classifier,converges to
Soudry et al. (2018),logistic loss,showed convergence for
Ji & Telgarsky (2018),exponential loss,showed convergence for
estimator,maximum-margin linear classifier,converges to
convergence rate,O(log log T / log T),is
Nacson et al. (2019),exponential loss,showed improved convergence for
convergence bound,maximum margin estimator,improved to
gradient descent,variable learning rate,uses
variable step sizes,experiments,indicate improvement
