node_1,node_2,edge
Graph Sequence Model (GSM),sequence models,is a unifying framework for applying
GSM++,Graph Sequence Model (GSM),is a fast hybrid model built on
GSM++,Hierarchical Affinity Clustering (HAC),uses to hierarchically tokenize the graph
GSM++,hybrid architecture,encodes sequences via
sequence models,graph-structured data,are adopted for
Message Passing Neural Networks (MPNNs),graph data,are a leading approach for processing
Transformers,sequence models,are a type of
linear RNNs,sequence models,are a type of
sequence models,long-range dependencies,can capture
Message-passing graph neural networks (MPNNs),graph data,are the leading approach for processing
Transformer architectures,natural language processing,have success in
Transformer architectures,computer vision,have success in
graph Transformers (GTs),graph-structured data,are designed to handle
graph Transformers (GTs),molecular property prediction,demonstrate compelling results in tasks like
MPNNs,local structures,tend to focus on
MPNNs,global or long-range relationships,are less effective at capturing
MPNNs,over-smoothing,suffer from issues like
MPNNs,over-squashing,suffer from issues like
MPNNs,restricted expressive power,suffer from issues like
graph Transformers (GTs),MPNNs,are an alternative to
Graph Transformers (GTs),pairwise dependencies of nodes,can learn and capture
Graph Transformers (GTs),global information,aggregates across the graph
Graph Transformers (GTs),local structural bias,reduces
traditional Transformer-based architectures,scalability issues,face in long-context tasks
traditional Transformer-based architectures,quadratic computational complexity,have
quadratic computational complexity,sparsifying the dense attention matrix,mitigated by
quadratic computational complexity,low-rank approximations of the attention matrix,mitigated by
quadratic computational complexity,kernel-based attention mechanisms,mitigated by
sparsifying the dense attention matrix,computational efficiency,enhances
low-rank approximations of the attention matrix,computational efficiency,enhances
kernel-based attention mechanisms,computational efficiency,enhances
computational efficiency,reduced expressiveness,often comes at the expense of
attention-free sequence models,Transformers,emerged as a promising alternative to
attention-free sequence models,parallelizable recurrent neural networks (RNNs),leverage
attention-free sequence models,long convolutions,leverage
parallelizable recurrent neural networks (RNNs),"sub-quadratic, hardware-efficient sequence mixing operators",offer
long convolutions,"sub-quadratic, hardware-efficient sequence mixing operators",offer
"sub-quadratic, hardware-efficient sequence mixing operators",long-range dependencies,can capture
"sub-quadratic, hardware-efficient sequence mixing operators",strong generalization to sequences of varying length,offer
