node_1,node_2,edge
Subequivariant Graph Reinforcement Learning in 3D Environments (3D-SGRL),morphology-agnostic RL,is a novel setup for
3D-SGRL,3D environments,operates in
3D-SGRL,new benchmarks,introduces
new benchmarks,3D space,are set in
agent,full Degree-of-Freedoms,has
agent,arbitrary directions,explores in
agent,arbitrary configurations,starts from
3D-SGRL,geometric symmetry,injects
geometric symmetry,subequivariance,is also known as
subequivariance,policy and Q-function,is injected into the modeling of
policy and Q-function,exploration efficiency,improves
SubEquivariant Transformer (SET),expressive message exchange,permits
3D-SGRL,SubEquivariant Transformer (SET),achieves its goal via
proposed method,existing approaches,outperforms
proposed method,"single-task, multi-task, and zero-shot generalization scenarios",evaluated on
deep reinforcement learning,policy of the agent,acquired through interactions with the environment
agent,environment,interacts with
single-task generalization,multi-task generalization,compared in existing approaches
multi-task generalization,zero-shot generalization,compared in existing approaches
3D subequivariant formulation,2D planar setting,compared in illustrative comparison
agents,3D movement,equipped with more DoFs to allow
morphology of the agent,policy learning,insight into
policy of the agent,interactions with the environment,acquired through
morphology-agnostic RL,morphology of the agent,gets insight into
morphology-agnostic RL,local and shared policy,learns
local and shared policy,all agents and tasks,applied to
morphology-agnostic RL,enhanced performance and transferability,offers
morphology-agnostic RL,multi-task scenario,especially effective in
morphology-agnostic RL,Graph Neural Networks (GNNs),fulfilled by leveraging
morphology-agnostic RL,Transformers,fulfilled by leveraging
Graph Neural Networks (GNNs),policy,derives through passing and fusing state information
Transformers,policy,derives through passing and fusing state information
state information,morphological graphs of the agents,passed and fused on
existing benchmarks,critical setups,over-simplified
critical setups,limited state/action space,gives rise to
limited state/action space,obtained policy,unable to explore entire 3D space
agents,fixed starting point,assigned
agents,moving towards a single direction along the x-axis,restricted to
moving towards a single direction along the x-axis,2D motions,leads to
