node_1,node_2,edge
Graph Neural Networks,Shapley value,used for interpreting
Shapley value,black-box machine learning models,interprets
Graph Neural Networks,structured inputs,has
Shapley-based explainability approaches,node-wise importance,focuses on
Shapley-based explainability approaches,graph structure,neglects when perturbing input
Myerson-Taylor interaction index,graph structure,internalizes
Myerson-Taylor interaction index,node values,attributes
Myerson-Taylor interaction index,interaction values among nodes,attributes
Myerson-Taylor index,coalitions,decomposes into components
components,connectivity criterion,satisfies
Myerson-Taylor index,five natural axioms,satisfies uniquely
five natural axioms,graph structure,accounts for
five natural axioms,high-order interaction among nodes,accounts for
Myerson-Taylor Structure-Aware Graph Explainer (MAGE),second-order Myerson-Taylor index,uses
second-order Myerson-Taylor index,most important motifs,identifies
most important motifs,model prediction,influences
Graph Neural Networks (GNNs),predictive power,are known for their
Graph Neural Networks (GNNs),real-world applications,proliferate in
Graph Neural Networks (GNNs),explainability,lack of
explainability,white-box explainers,categorized into
explainability,black-box explainers,categorized into
white-box explainers,model’s internal structures or gradients,require access to
black-box explainers,model’s output,only require querying
black-box explainers,versatile,are more
Shapley value,game theory,is a concept from
Shapley value,black-box ML models,used to explain
Shapley value,graph input,poses challenge for
Shapley value,node importance,used to determine
node importance,attribution scores,also known as
attribution scores,subset of nodes,used to identify
Shapley value,graph structure,does not consider
perturbed graphs,disconnected or pathological,may become
GNN model,pathological graphs,does not observe during training
pathological graphs,attribution scores,may inject bias into
