node_1,node_2,edge
Directed Exploration,Reinforcement Learning,is a crucial challenge in
Information-directed sampling (IDS),Directed Exploration,optimizes the information ratio to address
Information gain,Information-directed sampling (IDS),is estimated by
Integral Probability Metric (IPM),Directed Exploration,is an alternative exploration incentive for
Kernelized Stein Discrepancy (KSD),Integral Probability Metric (IPM),can compute in closed form
STEERING algorithm,Kernelized Stein Discrepancy (KSD),is based on
STEERING algorithm,Model-Based Reinforcement Learning,is developed for
STEERING algorithm,Bayesian regret,achieves sublinear
STEERING algorithm,prior approaches,outperforms
algorithm,prior approaches,outperforms
exploration,reinforcement learning (RL),is a major challenge in
reinforcement learning (RL),sparse rewards,challenged by
model-based reinforcement learning (MBRL),intrinsic curiosity,uses
intrinsic curiosity,exploration,offers solution for
posterior sampling reinforcement learning (PSRL),exploration and exploitation,balances
PSRL,many trajectories,may struggle in scenarios with
information-directed sampling (IDS),distance between current sample and posterior mean,focuses on
proposed approach,distance to true model,focuses on
PSRL,reward sparsity,struggles in scenarios with
Information Directed Sampling (IDS),exploration in MBRL,proposed to incentivize
Information Directed Sampling (IDS),regret and information,optimizes tradeoff between
Information Directed Sampling (IDS),Dirichlet priors,uses for transition model
Information Directed Sampling (IDS),information gain,requires estimation of
Information Directed Sampling (IDS),optimal true transition dynamics,does not induce exploration directed towards
Hao & Lattimore (2022),surrogate environment estimation procedure,developed via rate-distortion theory
Hao & Lattimore (2022),prior requirements,alleviated
