node_1,node_2,edge
Generalized-Smooth Nonconvex Optimization,Smooth Nonconvex Optimization,is as efficient as
α-symmetric generalized-smoothness,generalized-smooth conditions,extends
α-symmetric generalized-smoothness,high-order polynomials,covers
α-symmetric generalized-smoothness,exponential functions,covers
deterministic normalized gradient descent algorithm,generalized-smooth nonconvex problems,solves
deterministic normalized gradient descent algorithm,optimal iteration complexity O(ϵ−2),achieves
SPIDER variance reduction algorithm,generalized-smooth nonconvex problems,solves in stochastic setting
SPIDER variance reduction algorithm,optimal sample complexity O(ϵ−3),achieves
machine learning,nonconvex optimization problem,requires solving
nonconvex optimization problem,gradient-based optimization algorithms,solved by
gradient-based optimization algorithms,gradient descent (GD),includes
gradient-based optimization algorithms,stochastic gradient descent (SGD),includes
gradient-based optimization algorithms,stochastic variance reduction algorithms,includes
objective function,L-smooth,assumed to be
L-smooth,Lipschitz continuous gradient,means
GD algorithm,complexity lower bounds,achieves
stochastic variance reduction algorithms,complexity lower bounds,achieves
complexity lower bounds,deterministic nonconvex optimization,for finding approximate stationary point in
complexity lower bounds,stochastic nonconvex optimization,for finding approximate stationary point in
deterministic nonconvex optimization,approximate stationary point,finding
stochastic nonconvex optimization,approximate stationary point,finding
smooth nonconvex problems,provably optimal algorithms,solved by
distributionally robust optimization (DRO),smooth nonconvex problems,not included in
language model learning,smooth nonconvex problems,not included in
generalized-smooth conditions,smoothness parameters,scale with gradient norm
generalized-smooth-type nonconvex problems,gradient-based algorithms,solved by
gradient-based algorithms,sub-optimal complexity results,have
generalized-smooth functions,improved complexities,develop algorithms with
generalized-smooth conditions,restricted classes of functions,define
high-order polynomials,generalized-smooth conditions,not covered by
exponential functions,generalized-smooth conditions,not covered by
