node_1,node_2,edge
Density-Softmax,sampling-free deterministic framework,is a
Density-Softmax,density function,combines
density function,Lipschitz-constrained feature extractor,built on
Density-Softmax,softmax layer,combines with
Density-Softmax,uncertainty estimation,improves
Density-Softmax,robustness,improves
Density-Softmax,distribution shifts,handles
sampling-based methods,Deep Ensembles,include
sampling-based methods,Bayesian Neural Nets,include
sampling-based methods,large model size,suffer from
sampling-based methods,high latency,suffer from
Density-Softmax,lower number of model parameters,has
Density-Softmax,lower latency,has
Density-Softmax,minimax uncertainty risk,is solution of
Density-Softmax,distance-aware on feature space,is
standard softmax,over-confidence,suffers from
Density-Softmax,over-confidence,reduces
reliable DNN model,graceful failure,permits
reliable DNN model,uncertainty,signals when likely wrong
reliable DNN model,robustness,generalizes better under distribution shifts
reliable DNN model,efficiency,needs to be fast and lightweight
efficiency,training time,considered in phase
efficiency,test time,considered in phase
inefficient DNN model,training time,may be acceptable with high computational resources
inefficiency,test time,critical issue for deployment on low-resource devices
Deterministic Empirical Risk Minimization (ERM),efficiency,can be efficient
Deterministic Empirical Risk Minimization (ERM),sampling-free,is a type of
Deterministic Empirical Risk Minimization (ERM),O(1) sample complexity,has
Deterministic Empirical Risk Minimization (ERM),over-confidence,struggles with
Deterministic Empirical Risk Minimization (ERM),over-fitting,struggles with
sampling-based approaches,O(M) sample complexity,has
sampling-based approaches,uncertainty estimation,improves
sampling-based approaches,robustness under distribution shifts,improves
Deep Ensembles,sampling-based approaches,is a type of
Deep Ensembles,best performance in practice,achieves
Deep Ensembles,heavy computational burden,suffers from
sampling-free methods,Deep Ensembles,alternative to
lightweight sampling-based models,Deep Ensembles,alternative to
