node_1,node_2,edge
Stochastic Gradient Descent (SGD),large step sizes,uses
large step sizes,loss stabilization,causes
loss stabilization,hidden stochastic dynamics,induces
hidden stochastic dynamics,simple predictors,biases toward
large step sizes,implicit regularization,enables
implicit regularization,sparse representations,finds
SGD dynamics,loss landscape,traverses
gradient,SGD dynamics,drives
noise,SGD dynamics,drives
step size schedules,SGD dynamics,influences
deep neural networks,remarkable achievements,accomplish
stochastic training procedures,convex models,challenge insights drawn from
large step size schedules,patterns of stabilizations and sudden drops,lead to
overparametrized deep nets,generalization,generalize well
overparametrized deep nets,data,fit perfectly
optimization,generalization,are tightly intertwined
neural networks,solutions that generalize well,find
optimization procedure,neural networks,used to train
implicit bias,algorithmic regularization,also known as
implicit bias,regression,studied for
implicit bias,classification,studied for
loss stabilization,large step size phase,is a phase of training characterized by
loss stabilization,constant loss,results in approximately constant loss on average
loss stabilization,better generalization,leads to
loss stabilization,hidden dynamics,unveils
hidden dynamics,noise of SGD,involves amplification of
noise of SGD,sparser features,drives network towards
sparser features,feature vector ψ(x),means only a few unique features are active for a given input x
SGD schedules,ResNet paper,from
SGD schedules,large step size,involves keeping constant then decaying
theoretical results,beneficial feature learning regimes,show typical timescales needed to enter are prohibitively long
