node_1,node_2,edge
Labeled Stochastic Block Model (LSBM),hidden communities,contains
Labeled Stochastic Block Model (LSBM),finite number of clusters,has
IAC (Instance-Adaptive Clustering),instance-specific lower bounds,matches performance of
IAC (Instance-Adaptive Clustering),spectral clustering,includes one-shot step
IAC (Instance-Adaptive Clustering),iterative likelihood-based cluster assignment improvements,includes
IAC (Instance-Adaptive Clustering),computational complexity O(n polylog(n)),has
expected number of misclassified nodes,s,is less than
community detection,clustering,is also known as
community detection,similar nodes,groups
Stochastic Block Model (SBM),clustering algorithms,is a benchmark used to assess the performance of
Stochastic Block Model (SBM),random graph,represents pair-wise interactions as
nodes,vertices,correspond to
edges,nodes,indicates interaction between
Labeled Stochastic Block Model (LSBM),Stochastic Block Model (SBM),is an extension of
Labeled Stochastic Block Model (LSBM),labels,represents interactions through
clustering,labels,is possible based on observing
Labeled Stochastic Block Model (LSBM),nodes,consists of
nodes,clusters,partitioned into
cluster index,node,denoted by σ(i) for node i
cluster probabilities,clusters,"represented by α = (α1, ..., αK)"
number of clusters K,Labeled Stochastic Block Model (LSBM),initially unknown in
labels,edges,observed on
label probability,edge,"depends on clusters of its endpoints via p(i, j, ℓ)"
most frequent label,labels,is 0
sparse regime,label probability,characterized by ¯p = O((log n)/n)
clustering algorithm,misclassified nodes,minimizes expected number of
