node_1,node_2,edge
Gaussian process regression,low-precision floating-point representations,uses to reduce energy consumption
Gaussian process regression,energy consumption,can be reduced by using low-precision arithmetic
low-precision arithmetic,kernel matrix,affects conditioning of
kernel matrix,model performance,conditioning impacts
energy consumption,arithmetic operations,reduced by up to 89.01% for 98.08% of
Gaussian process regression,small data sets,typically used for
Gaussian process regression,uncertainty prediction,key importance for
low-precision arithmetic,symmetric full-rank matrix inversion,relevant for
Gaussian process regression,power consumption,is investigated for connection with
Gaussian process regression,low-precision utilization,is investigated for connection with
low-precision Gaussian processes,power consumption,reduces
Gaussian process regression,low-precision Gaussian processes,is modified to create
low-precision utilization,power consumption,contributes to
arbitrary precisions,typical library users,is implemented for
typical library users,power consumption,collectively contribute to
small-sized datasets,daily workloads,make up
libraries,low-precision approach,can be adapted to
low-precision approach,processors and GPUs,can be directly utilized by
processors and GPUs,smaller floating-point representations,have inherent abilities to use
smaller floating-point representations,SIMD or other native hardware,is enabled through
Processors,GPUs,both have inherent abilities to use smaller floating-point representations through SIMD or native hardware
CPU-based implementations,scikit-learn,uses high-level libraries like scikit-learn
scikit-learn,LAPACK and BLAS,"uses for efficient, hardware-specific operations"
LAPACK and BLAS,Fortran,written in
CPU-based implementations,basic linear algebra,support
CPU-based implementations,"higher-level operations (e.g., Cholesky decomposition)",support
GPU-based libraries,native low-precision formats,benefit from
GPU-based libraries,CUDA implementations,makes straightforward
FPGAs,arbitrary format,can accommodate in implementations
low-precision floating-point representations,large round-off errors,can accumulate
determining appropriate low-precision representation,non-trivial task,is a
algorithm implementation,numerical representation,interacts with
chosen kernel,numerical representation,interacts with
specific data set,numerical representation,interacts with
desired model performance,numerical representation,interacts with
existing work from numerical linear algebra,theory-guided upper error bounds,provides
theory-guided upper error bounds,specific arithmetic operations,of
theory-guided upper error bounds,subtasks in Gaussian process regression,of
