node_1,node_2,edge
Optimal Approximation Factors,Misspecified Off-Policy Value Function Estimation,studied in the context of
Misspecified Off-Policy Value Function Estimation,Reinforcement Learning (RL),is a subproblem of
Approximation Factors,Misspecification Error,suffer multiplicative blow-up due to
Linear Off-Policy Value Function Estimation,Approximation Factors,studies the optimal form of
State Aliasing,Approximation Factors,affects the setting of
Full Coverage,Partial Coverage,contrasted with in state space coverage
Weighted L2-Norm,Approximation Factors,provides instance-dependent upper bounds for
L∞ Norm,Approximation Factors,provides instance-dependent upper bounds for
Instance-Dependent Parameters,Approximation Factors,are necessary for finiteness of
Realizability Assumptions,Reinforcement Learning (RL),are pervasive in theoretical guarantees of
reinforcement learning (RL),function approximation,uses
realizability assumption,optimal solution,posits that the optimal solution belongs to the function class
realizability assumption,function class,assumes the optimal solution is in the function class
misspecification error,best-in-class function,is the minimal error incurred by the best-in-class function
best-in-class function,true solution,is closest to the true solution as measured by some norm
approximation factor,error of attained solution,is the ratio between the error of the attained solution and that of the best-in-class solution
approximation factor,error of best-in-class solution,is the ratio between the error of the attained solution and that of the best-in-class solution
misspecified RL problems,approximation factor,often suffer large approximation factors
RL problems,large approximation factors,suffer from
large approximation factors,statistical errors,in addition to
large approximation factors,bias of the solution,represent
bias of the solution,sample size,does not decrease as
linear regression,approximation factor of 1,can recover
empirical risk minimization,approximation factor of 1,can recover
RL problems,optimal ratios,unstudied for
offline RL problem,linear features,formulated with
offline RL problem,optimal approximation ratio,examines
optimal asymptotic approximation factor,sample-inefficient estimators,allowed by
learning problem,linear off-policy value function estimation,is
linear off-policy value function estimation,infinite-horizon discounted Markov Reward Processes (MRPs),applied to
