node_1,node_2,edge
Self-Explainable Graph Neural Networks (SE-GNNs),Minimal Explanations (MEs),extracts
Minimal Explanations (MEs),Prime Implicant (PI) explanations,compared to
Minimal Explanations (MEs),faithful explanations,compared to
Minimal Explanations (MEs),Prime Implicant (PI) explanations,matches for a restricted family of tasks
Minimal Explanations (MEs),faithful explanations,misaligned with
Prime Implicant (PI) explanations,faithful explanations,are informative but intractable to find
Self-Explainable Graph Neural Networks (SE-GNNs),Dual-Channel GNNs,augmented with alternative modalities
Dual-Channel GNNs,white-box rule extractor,integrates
Dual-Channel GNNs,standard SE-GNN,integrates
Dual-Channel GNNs,succinct rules,recovers
Self-Explainable GNNs (SE-GNNs),Graph Neural Networks (GNNs),are a type of
Self-Explainable GNNs (SE-GNNs),explanation extractor,integrates
Self-Explainable GNNs (SE-GNNs),classifier,integrates
explanation extractor,class-discriminative subgraph,identifies
classifier,class-discriminative subgraph,maps onto a prediction
class-discriminative subgraph,local explanation,plays the role of
Minimal Explanations (MEs),subgraphs,are minimal
Minimal Explanations (MEs),classifier,ensure the target prediction
SE-GNNs,Minimal Explanations (MEs),are implicitly optimized for generating
SE-GNNs,MEs,implicitly optimized for generating
MEs,Prime Implicant explanations (PIs),compared with
MEs,faithful explanations,compared with
faithful explanations,prediction,sufficient and necessary for justifying
faithful explanations,subgraphs,are
Prime Implicant explanations (PIs),tabular and image data,extensively studied in formal explainability of
PIs,propositional formula,enough to reconstruct
PI explanations,counterfactuals,tightly linked to
sufficient explanations,counterfactuals,tightly linked to
PI explanations,adversarial robustness,tightly linked to
sufficient explanations,adversarial robustness,tightly linked to
MEs,PI explanations,match in motif-based prediction tasks
motif-based prediction tasks,topological motifs,labels depend on presence of
MEs,faithful explanations,are generally neither
MEs,PIs,are generally neither
SE-GNNs,alternative explanation modalities,augmenting with
