node_1,node_2,edge
Likelihood-free inference (LFI),implicit statistical models,is a set of techniques for inference in
Likelihood-free inference (LFI),summary statistics,has longstanding question about designing or learning
end-to-end LFI methods,summary statistics,may make learning summary statistics seem unnecessary
learning summary statistics,direct posterior inference,may be easier than
learning sufficient statistics,low-dimensional learning problems,can be reduced to a set of
summary statistics learning,posterior inference,should be explicitly decoupled in LFI
implicit models,forward simulation,allows
implicit models,tractable likelihood,does not admit
Bayesian inference,implicit models,performed in
Likelihood-free inference (LFI),Bayesian inference,facilitates
Likelihood-free inference (LFI),likelihood function,does not need to evaluate
Likelihood-free inference (LFI),simulate data,requires
approximate Bayesian computation (ABC),Likelihood-free inference (LFI),is a traditional method of
approximate Bayesian computation (ABC),simulated data,repeatedly simulates
approximate Bayesian computation (ABC),posterior,constructs using subset of simulated data
neural networks,intractable likelihood,approximate
neural networks,density ratio,approximate
neural networks,posterior,approximate directly
summary statistics,likelihood-free inference,is an important ingredient in
summary statistics,likelihood-free inference,essential for
automatic design of summary statistics,summary statistics,aims to automate
end-to-end LFI methods,summary statistics,challenges necessity of
end-to-end LFI methods,posterior estimator,jointly trained with
summary statistics,encoder,learned implicitly by
explicit summary statistics learning,end-to-end LFI methods,seems no more necessary in
sufficient statistics,implicit model,easier to learn than likelihood or posterior of
end-to-end inference approaches,likelihood-free inference,can be unreliable in
explicit learning of summary statistics,end-to-end inference approaches,suggested as alternative to
