node_1,node_2,edge
agent behaviour,beliefs,used to infer
agent behaviour,intentions,used to infer
agent behaviour,goals,used to infer
beliefs,predicting behaviour,enables
world model,agent behaviour,guides
inferred beliefs,predicting behaviour,used for
behavioural data,predicting intentional agents,theoretical limit for
fairness,predicting agents from behaviour,implications for
safety,predicting agents from behaviour,implications for
AI systems,humans and animals,have similarly general capabilities
AI systems,text,generate fluent and accurate text
AI systems,diverse set of questions,respond to
AI systems,consistent types of behaviour,display
mentalistic language,AI systems,applied to
world models,causal relationships of the environment,mirror
world models,future plans and behaviour,guide
AI systems,environment,interact with
interactions with an environment,clues,leave
clues,predict future behaviour,enable
AI Safety problem,guarantee and predict safe behaviour,engages with
assumption of competence and optimality,behaviour of AI systems,partially determines actions in novel environments
Humans,abstractions,understand each other through
intentions,goals and beliefs,explained by appealing to
Dennett,understanding of others,proposed same principle applies to
cognition,understanding,underlies
bear,hibernation,exhibits behavior of
bear,belief about food scarcity,acts as if it has
lower temperatures,food scarcity,cause
bear's behaviour,predictive power,has
human observers,bear's behaviour,anticipate
AI system,behaviour,produces
behaviour,observations,consists of
behaviour,contextual variables,includes
behaviour,utility or reward values,includes
lack of knowledge,AI's actual world model,causes partial determination of actions
different models,different optimal actions,induce
AI's future behaviour,range of possible outcomes,narrowed down to
AI's behaviour,rationality axioms,consistent with
AI's behaviour,causal world model,described by
causal world model,Halpern & Piermont (2024),proposed by
