node_1,node_2,edge
Stochastic Convex Optimization (SCO),memorization,investigates the interplay between
memorization,information a learning algorithm reveals about its training data points,defined as
information a learning algorithm reveals about its training data points,conditional mutual information (CMI),quantified using
conditional mutual information (CMI),Steinke and Zakynthinou,proposed by
accuracy of a learning algorithm,CMI,tradeoff characterized by
excess error ε,CMI lower bound,has lower bound of Ω(1/ε²) in L2 Lipschitz–bounded setting
excess error ε,CMI lower bound,has lower bound of Ω(1/ε) under strong convexity
memorization,learning problems in SCO,plays essential role in
adversary,training samples,capable of accurately identifying a significant fraction of
generalization bounds based on CMI,limitation,subject to limitation
samples in SCO problems,incompressibility,exhibit
generalization,memorization,relationship between generalization and memorization in machine learning is not fully characterized
ideal learning algorithms,training data,extract relevant information from training data
ideal learning algorithms,memorization,avoid memorization of irrelevant information
limited memorization,strong generalization,benefits of limited memorization for strong generalization
overparameterized deep neural networks (DNNs),high test accuracy,achieve high test accuracy despite memorizing significant training data
memorization,generalization,memorization plays a complex role in generalization
memorization,good generalization,memorization might be necessary for good generalization
memorization,generalization,memorization might be necessary for good generalization
stochastic convex optimization (SCO),generalization,SCO is a theoretical model for understanding generalization
stochastic convex optimization (SCO),memorization,SCO is used to investigate interplay between generalization and memorization
SCO problem,"triple (Θ, Z, f)",defined by
learner,sample of data points,receives
learner,population risk FD(θ),goal is to find approximate minimizer of
population risk FD(θ),data distribution D,depends on
gradient-based optimization algorithms,SCO,SCO is suitable for studying
empirical risk minimizers (ERMs),sample complexity,require sample complexity scaling with problem dimension
carefully designed algorithms,optimal generalization,can achieve with sample complexity independent of dimension
overparameterized settings,generalization,studying generalization in overparameterized settings such as DNNs
