node_1,node_2,edge
Stein Variational Goal Generation,Multi-Goal Reinforcement Learning,is a method for
Multi-Goal Reinforcement Learning,agent,involves an
agent,goals,is conditioned by
goals,curriculum,benefits from a
curriculum,training tasks,adapts
Stein Variational Goal Generation,predictive model,leverages a learned
predictive model,goal reaching capabilities,models
Stein Variational Goal Generation,Stein Variational Gradient Descent,uses
Stein Variational Gradient Descent,particles,attracts
particles,areas of appropriate difficulty,are attracted to
Stein Variational Goal Generation,state-of-the-art multi-goal Reinforcement Learning methods,outperforms
Stein Variational Goal Generation,success coverage,improves
Stein Variational Goal Generation,recovery property,is endowed with
environment,changes,when
multi-goal RL,sharing experience,offers an efficient way for
multi-goal RL,agent able to reach any goal,usual ambition is to obtain
desired goal distribution,unknown at train time,is
multi-goal RL,sparse reward context,often considers
sparse reward context,non-null learning signal,agent only obtains when goal is achieved
multi-goal framework,Hindsight Experience Replay (HER),makes it possible to leverage
Hindsight Experience Replay (HER),densify the reward signal,helps
Hindsight Experience Replay (HER),relabeling failures as successes,works by
discontinuities in the goal space,walls in a maze,example of
HER (Hindsight Experience Replay),goals achieved by accident,treats as successes
discontinuities in goal space,walls in a maze,example of
hard exploration problems,long task horizon,results in exponential decrease of learning signal
HER (Hindsight Experience Replay),hard exploration problems,does not suffice to reach all valid goals
curriculum,training goals,structures selection from behavior distribution
curriculum,agents,helps explore and learn progressively
curriculum,current capabilities,adapts training tasks to
novelty-based approach,expanding set of achieved goals,focuses on
novelty-based approach,"RIG, DISCERN, SKEW-FIT, MEGA",includes methods like
novelty-based approach,success coverage,optimizes only implicitly
GOIDs (goals of intermediate difficulty),goal generation process,biases toward
GOIDs (goals of intermediate difficulty),progress,fosters by avoiding too easy or too hard goals
asymmetric self-play,GOIDs (goals of intermediate difficulty),is an approach for
