node_1,node_2,edge
Optimal transport,machine learning,is an important tool in
Optimal transport,linear program,is formulated as a
transport polytopes,Optimal transport,are domains of
Mirror Sinkhorn,Sinkhorn algorithm,utilizes principles of
Mirror Sinkhorn,mirror descent,utilizes principles of
Mirror Sinkhorn,transport polytopes,optimizes on
Sinkhorn algorithm,entropic-regularized method,is used to efficiently optimize
transport polytope,nonnegative matrices,is the set of
transport polytope,joint distributions,elements can be interpreted as
marginal distributions,joint distributions,are fixed sums for
optimal transport problem,regularization parameter,depends on
optimal transport problem,cost matrix,depends on
optimal transport problem,desired precision level,depends on
convex optimization,transport polytope,defined on
convex optimization,optimal transport,includes
convex optimization,entropic regularized optimal transport,includes
quadratic function,transport polytope,optimized on
quadratic function,point cloud registration,related to
point cloud registration,Gromov-Wasserstein problems,related to
quadratic function,euclidean projection on Birkhoff polytope,used for
statistical inference,random permutations,applied to
inference on random permutations,convex functions,minimized by
optimisation on transport polytope,Wasserstein distance,used to compute and minimize
optimisation on transport polytope,sum of Wasserstein distances,used to compute and minimize
Wasserstein distance,parametrized distributions,applied to
Wasserstein distance,parametrized distributions,computed and minimized for a set of
Wasserstein estimators,Wasserstein distance,computed using
private learning,Wasserstein distance,applies to
Wasserstein barycenters,Wasserstein distance,computed using
generative models,Wasserstein distance,compared using
neural network,sample distribution,compared via 1-Wasserstein distance in WGAN
WGAN,1-Wasserstein distance,uses
Wasserstein autoencoders,Wasserstein distance,uses
Sinkhorn divergences,Wasserstein distance,regularized version of
optimal transport,iterated Bregman projections,solved using
iterated Bregman projections,Sinkhorn algorithm,related to
Sinkhorn algorithm,mirror descent,interpreted as in dual
Sinkhorn algorithm,mirror descent,interpreted as in primal
streaming iterations of Sinkhorn,regularized optimal transport,minimizes
