node_1,node_2,edge
Multi-Layer Neural Networks,Neural Hilbert Ladders,introduces
Neural Hilbert Ladders,reproducing kernel Hilbert spaces,collection of
reproducing kernel Hilbert spaces,training,adaptive to
L-layer NNs,L-level NHLs,corresponds to
Neural Hilbert Ladders,generalization guarantees,provides
multi-layer NNs,infinite-width mean-field limit,trained in
Neural Hilbert Ladders,dynamics of multiple random fields,characterized by
linear and shallow NNs,Neural Hilbert Ladders,examined from perspective of
Neural Networks (NNs),universal approximation theorem,is subject to
universal approximation theorem,functions,states that NNs can approximate
Neural Networks (NNs),width,has unlimited
complexity measure,functions,quantifies representation cost of
representation cost,rate of approximation error,is measured by
shallow (two-layer) NNs,complexity measure,has been studied for
multi-layer NNs,complexity measure,remains mostly open for
sample complexity,learning NNs,relates to
generalization guarantees,norms of parameters,are based on
norms of parameters,complexity measure,could serve as
complexity measure,neural networks,associated with
complexity measure,generalization,governs
complexity measure,approximation,governs
width-limited multi-layer NNs,complexity measure,associated with
training of NNs,non-convex optimization problem,involves
training of NNs,gradient descent,solved by
Neural Tangent Kernel (NTK),linearized approximation,provides
Neural Tangent Kernel (NTK),reproducing kernel Hilbert space (RKHS),represents functions in
NTK theory,feature learning,unable to model
feature learning,training of actual NNs,occurs in
feature learning,success of deep learning,crucial to
hypothesis space,multi-layer NNs,corresponds to
hypothesis space,training,undergoes
L-layer NN,ladder of RKHS,modeled as
ladder of RKHS,L-levels,has
