node_1,node_2,edge
Spurious Correlations,High Dimensional Regression,phenomenon studied in
Spurious Correlations,Regularization,influenced by
Spurious Correlations,Simplicity Bias,influenced by
Spurious Correlations,Over-Parameterization,influenced by
Predictive Core Feature x,Spurious Feature y,correlated with
Spurious Correlations C,Linear Regression,quantified via
Spurious Correlations C,Data Covariance,depends on
Spurious Correlations C,Ridge Regularization λ,depends on strength of
Simplicity of y,Spectrum of its Covariance,captured by
Correlation between x and y,Schur Complement of Full Data Covariance,captured by
Spurious Correlations C,In-Distribution Test Loss L,trade-off between
λ that minimizes L,Interval where C is increasing,lies in
Over-Parameterization,Random Features Model,investigated via
Random Features Model,Regularized Linear Regression,equivalent to
Machine learning systems,patterns,learn from
patterns,intended task,statistically correlated with
blue background,boat,positively correlated with
deep learning model,blue background,uses as biased prediction
spurious correlation,feature,between
spurious correlation,learning task,between
deep learning models,spurious correlation,manifest
mitigation approaches,spurious correlation,address
shortcut learning,spurious correlation,also referred to as
shortcut learning,spurious features,attributed to simplicity of
over-parameterized models,spurious features,biased toward
spurious features,core features,are neglected in favor of
spurious features,shortcut,provide an easier
over-parameterized models,simpler patterns,have implicit bias toward learning
simplicity bias,boolean functions,formalized using
simplicity bias,model-specific biases,formalized using
simplicity bias,one-dimensional features,formalized using
simplicity bias,pairwise interactions,formalized using
over-parameterization,spurious correlations,can exacerbate
over-parameterization,empirical risk minimization (ERM),effect on is less understood
spurious correlations,minority groups,exacerbated when re-weighting objective on
