node_1,node_2,edge
Budget pacing,Internet advertising platforms,is a service offered by
ROS pacing,Budget pacing,is a related pacing system to
Autobidding,Value maximization,uses strategy of
Value maximization,Return-on-spend (ROS) constraints,is subject to
Fully-decoupled sequential algorithm,Budget pacing,is a type of algorithm for
Minimally-coupled min-pacing algorithm,Budget pacing,is a type of algorithm for
Fully-coupled dual-based algorithm,Budget pacing,is a type of algorithm for
Min-pacing algorithm,Fully-coupled dual-based algorithm,attains similar guarantees to
Sequential algorithm,Constraints,could violate
Budget pacing,advertisers,is a service offered to
Budget pacing,advertiser bids,optimizes
Budget pacing,budget constraints,subject to
Autobidding,return-on-spend (ROS) constraints,subject to
Autobidding,budget constraints,on top of
min-pacing algorithm,canonical dual-based algorithm,performs almost as well as
min-pacing algorithm,semi-synthetic dataset,validated on
semi-synthetic dataset,online advertising platform’s auction data,generated from
value-optimizing real-time bidding,return-on-spend (ROS) constraints,subject to
value-optimizing real-time bidding,budget constraints,subject to
autobidding,high-level advertiser goals,takes as input
autobidding,real-time bids,places
autobidding,advertiser returns,optimizes
budget pacing systems,ROS pacing,govern
budget pacing systems,value-optimization,govern
different algorithms,advertisers’ bids,independently choose/modify
budget constraints,ROS constraints,can introduce inefficiencies when decoupled
fully decoupled pacing service,fully coupled optimal pacing service,compared to
