node_1,node_2,edge
Scalable AI Safety,Doubly-Efficient Debate,is achieved via
Doubly-Efficient Debate,pre-trained AI systems,addresses safety challenges of
pre-trained AI systems,complex domains,operate across
AI safety,complex tasks,challenged by
debate method,Irving et al. (2018),proposed by
debate method,identifying (mis)-alignment,aims to break down
honest strategy,deterministic AI systems,assumed to simulate
original framework,exponential number of steps,limited by
new debate protocols,polynomial number of steps,honest strategy uses
new debate protocols,stochastic AI systems,verifies alignment of
dishonest strategy,exponentially many simulation steps,allowed to use
Large language models (LLMs),emergent capabilities,demonstrate
emergent capabilities,natural-language instructions,include following
emergent capabilities,abstract reasoning and planning,include performing
LLMs,general-purpose abstract reasoning,perform
LLMs,planning,perform
human feedback,LLM outputs,improves alignment between behavior and designer's intent
LLMs,complex tasks,used to perform
complex tasks,writing and execution of general-purpose computations,can be viewed as
general-purpose computations,natural language,described in
model,previous model outputs,invoked with context given by
complexity of tasks,ability to provide direct human feedback,limits
scalable oversight,new approaches,leads to need for
scalable oversight,protocols involving humans and AI models,uses
protocols involving humans and AI models,high-quality feedback for training and oversight,provide
language model,drafting a law or legal contract,used for
language model,law,used to draft
language model,legal contract,used to draft
law,natural language,written in
legal contract,natural language,written in
law,real world concepts,refers to
legal contract,real world concepts,refers to
law,human judgement,requires for interpretation
legal contract,human judgement,requires for interpretation
human judgement,judge,performed by in worst case
individual passages,real-world consequences,can have
single characters,real-world consequences,can have
misplaced commas,multimillion-dollar losses,caused
language model,high-stakes natural language,trained to write
high-stakes natural language,correctness,requires certainty of
correctness,human judgement,defined by
human experts,training label,provide by reading
human experts,prohibitively expensive,is
training and oversight,human judgements,requires efficient use of
oversight and safe training of AI systems,training techniques in machine learning,builds upon correspondence with
training techniques in machine learning,interactive proofs in complexity theory,corresponds to
AI safety via debate,oversight and safe training of AI systems,is a proposal for
