node_1,node_2,edge
associative memory module,outer products of token embeddings,stores
training dynamics,system of particles,reduced to the study of
system of particles,data distribution,interacts according to properties of
system of particles,correlations between embeddings,interacts according to
overparameterized regimes,classification margins,obtains logarithmic growth of
imbalance in token frequencies,oscillatory transitory regimes,leads to
memory interferences,oscillatory transitory regimes,leads to
correlated embeddings,oscillatory transitory regimes,leads to
large step sizes,oscillations,makes more pronounced
large step sizes,benign loss spikes,can create
large step sizes,asymptotic convergence,accelerates
underparameterized regimes,cross-entropy loss,can lead to suboptimal memorization schemes
input tokens,output,associated with
input variable x,data distribution p(x),drawn from
input variable x,data distribution p(x),drawn from
model fW,input-output relationship f*,learns
model fW,0-1 loss L01(fW),measured by
parameter W,gradient methods,learned by optimizing with
cross-entropy loss L(W),surrogate loss,is a type of
cross-entropy loss L(W),gradient methods,optimized by
input token embeddings ex,output token embeddings uy,fixed and used with
deep learning architectures,embedding vectors,transform
linear layer,cross-entropy loss,trained with
linear layer,fixed embeddings,uses
linear layer,cross-entropy loss,trained with
linear layer,fixed embeddings,trained with
deep models,associative memory models,joint training of multiple
associative memory,"pairwise associations (x, y)",stores or memorizes
associative memory models,neural computation literature,originates in
associative memory models,deep neural networks,explains inner workings of
training dynamics,associative memory model,studied in
associative memory model,cross-entropy loss,trained with
