node_1,node_2,edge
ClusterFuG,graph clustering,is a formulation for
ClusterFuG,multicut,based on
multicut,weighted correlation clustering,also known as
ClusterFuG,complete graph,operates on
dense multicut,multicut,is a variant of
dense multicut,node feature vectors,uses inner products of
multicut,sparse formulation,has original
ClusterFuG,greedy algorithms,rewrites
greedy algorithms,multicut,used for
ClusterFuG,Cityscapes,evaluated on
ClusterFuG,ImageNet,evaluated on
multicut,number of clusters,does not need specification of
graph-based clustering,specification of underlying graph topology,requires
graph-based clustering,complete graph,not scalable when using
complete graph,number of edges,grows quadratically
graph structure learning,graph-based clustering,resolves conundrum of
graph structure learning,additional complexity,adds
proposed method,graph clustering,solves efficiently on complete graphs
proposed method,edge-based multicut formulation,uses
edge-based multicut formulation,edge costs,restricts computation of
edge-based multicut formulation,edge costs,restricts computation of
edge costs,inner products of node features,based on
multicut formulation,storage requirements,reduces
full adjacency matrix,node features,replaced by linear number of
node features,edge costs,compute on demand
multicut algorithms,complete graph,operate on
complete graph,sparse subgraphs,sparsified adaptively into
sparse subgraphs,fast nearest neighbor search,obtained via
fast nearest neighbor search,scalable implementations,has
dense multicut instances,existing solvers,not solvable by
multicut on complete graphs with factorized edge costs,graph clustering formalism,is an efficiently representable
greedy additive edge contraction (GAEC) algorithm,dense multicut problems,mimicked for solving
