node_1,node_2,edge
epistemic uncertainty,lack of knowledge,is defined as
aleatoric uncertainty,entropy in the underlying distribution,is defined as
epistemic uncertainty,aleatoric uncertainty,is contrasted with
large language models (LLMs),epistemic uncertainty,can identify
large language models (LLMs),aleatoric uncertainty,can identify
small linear probes,"embeddings of frozen, pretrained models",trained on
small linear probes,larger models,predict when larger models will be more confident
probes trained on one text domain,other text domains,generalize to
fully unsupervised method,non-trivial accuracy,achieves
LLMs,internal representations of different types of uncertainty,contain
internal representations of different types of uncertainty,more informative indicators of model confidence,could be leveraged to devise
LLMs,well-calibrated,are
LLMs,token-level probabilities,output
token-level probabilities,rates at which corresponding tokens occur,tend to match
model uncertainty,multiple sources,arises from
uncertainty,knowledge-based uncertainty,can be called
knowledge-based uncertainty,epistemic uncertainty,is also known as
probability distribution of free-form text,aleatoric entropy,exhibits
aleatoric uncertainty,epistemic uncertainty,is unlike
aleatoric uncertainty,not reducible,is
aleatoric uncertainty,infinitely large models,does not disappear even in limit of
structured settings,multiple-choice question answering,e.g.
structured settings,classify model uncertainty,can make it clear how to
model uncertainty,epistemic uncertainty,type of
model uncertainty,aleatoric uncertainty,type of
epistemic uncertainty,aleatoric uncertainty,contrasted with
ground truth distribution,unknown,is
larger models,ground truth distribution,proxy for
scaling laws,larger models,validate assumption about
small target models,largest models,contrasted with
small target models,token labels,generate
large model,confident prediction,indicates
small model uncertainty,epistemic uncertainty,classified as when large model confident
small model uncertainty,aleatoric-like uncertainty,classified as when large model unconfident
token level,epistemic uncertainty identification,applied at
