node_1,node_2,edge
Nearest neighbor search,diversity constraints,addressed by
Nearest neighbor search,graph-based algorithms,solved by
Graph-based algorithms,diverse similarity search,used for
Two-stage process,nearest neighbor search,used in traditional
Two-stage process,efficiency bottleneck,suffers from
Graph-based algorithms,two-stage process,bypasses
Data sets,low intrinsic dimension,characterized by
Graph-based algorithms,efficient implementations,piggy-backs on
nearest neighbor search,diversity constraints,is performed with
data structures,low intrinsic dimension,designed for data sets with
data structures,diverse set of k points,report
diverse set of k points,query,approximately closest to
search time,k and log ∆,depends on
∆,diameter,ratio of
∆,closest pair distance,ratio to
bound,standard graph-based algorithms,qualitatively similar to best known bounds for
standard graph-based algorithms,"Indyk & Xu, 2023",referenced from
search time,standard two-stage approach,substantially lower than
nearest neighbor search,data structure problem,is a classic
nearest neighbor search,machine learning,has applications in
nearest neighbor search,computer vision,has applications in
nearest neighbor search,recommendation systems,has applications in
set P,n points,contains
set P,space X,from
space X,distance function D,equipped with
data structure,query point q,given
data structure,point p,returns
point p,"D(q, p)",minimizes
general version,parameter k,given
general version,k points,goal to report
k points,q,closest to
k nearest neighbors,query point q,reported points are closest to
"metric space (X, D)",d-dimensional space,is typically
Euclidean distance,points p and q,measures distance between
exact nearest neighbor search,high-dimensional point sets,is not efficient for
c-approximate nearest neighbor,query point q,is a relaxed version of exact nearest neighbor for
recall,approximate data structure,measures quality of
recall,true k nearest neighbors,is average fraction of
reported answers,query,minimizing distance to is main objective
reported answers,redundant and/or duplicative,often are without additional constraints
recommendation systems,redundant answers,is affected by
Google search results listing algorithm,same site,limits to no more than two pages from
