node_1,node_2,edge
data2vec 2.0,self-supervised learning,is a type of
data2vec 2.0,data2vec,is an improved version of
data2vec 2.0,contextualized target representations,benefits from
data2vec 2.0,training efficiency,increases
data2vec 2.0,Masked Autoencoders,matches accuracy of in lower pre-training time
data2vec 2.0,wav2vec 2.0,performs as well as in less time
data2vec 2.0,RoBERTa,matches in half the time
data2vec 2.0,ImageNet-1K,evaluated on for image classification
data2vec 2.0,Librispeech,evaluated on for speech recognition
data2vec 2.0,GLUE,evaluated on for natural language understanding
data2vec 2.0,ViT-L,uses as model architecture
data2vec 2.0,fast convolutional decoder,uses
data2vec 2.0,teacher representations,amortizes effort to build
self-supervised learning,computer vision,applied to
self-supervised learning,natural language processing,applied to
self-supervised learning,speech processing,applied to
self-supervised learning,computer vision,resulted in progress in
self-supervised learning,natural language processing,resulted in progress in
self-supervised learning,speech processing,resulted in progress in
unified model architectures,modalities,generalize across
training objectives,modalities,function identically in different
self-supervised models,model capacity,benefited from increased scale in
self-supervised models,training datasets,benefited from increased scale in
self-supervised models,computational training effort,benefited from large amounts of
increased scale,emerging properties,resulted in
self-supervised learning stage,efficiency,is far from
data2vec 2.0,self-supervised learning,improves compute efficiency of
data2vec 2.0,contextualized target prediction,uses
data2vec 2.0,efficient data encoding,uses
data2vec 2.0,fast convolutional decoder,uses
data2vec 2.0,target representations,reuses for multiple masked versions of each sample
teacher model,latent contextualized representations,creates
teacher model,unmasked training examples,based on
student model,teacher model,regresses targets from
student model,masked version of the sample,input is
target contextualization,capturing information about the entire sample,enables
conventional non-contextualized targets,single set of features,uses
Transformer architecture,data2vec 2.0,used by
feature encoders,input modality,depends on
