node_1,node_2,edge
CHITA,Neural Network Pruning,is a framework for
CHITA,Combinatorial Optimization,performs optimization updates based on
CHITA,Optimal Brain Surgeon,extends
Pruning,Sparsity Constraint,subject to
Pruning,Pretrained Networks,applied to weights of
CHITA,Local Quadratic Approximation,uses memory-friendly representation of
CHITA,Sparsity-Accuracy Tradeoffs,leads to superior
CHITA,Fine-Tuning SGD Steps,can be used in conjunction with
method,state of the art,improves accuracy by 63% relative to
method,fine-tuning SGD steps,used in conjunction with
method,accuracy gains,achieves significant
code,CHITA,publicly available at GitHub repository
modern neural networks,large number of parameters,tend to use
large number of parameters,high computational costs,leads to
pruning,pre-trained networks,sparsifies by removing parameters
pruning,inference costs,mitigates
goal of pruning,network with fewer parameters,obtain
network with fewer parameters,minimal loss in performance,results in
model storage and deployment,resource-constrained environments,cheaper and easier in
neural net pruning approaches,magnitude-based methods,includes
neural net pruning approaches,impact-based methods,includes
magnitude-based methods,absolute value of weight,uses
Magnitude-based heuristic methods,absolute value of weight,uses to determine importance
Magnitude-based heuristic methods,pruning,determines whether weight should be pruned
Impact-based pruning methods,loss function,removes weights based on impact on
Impact-based pruning methods,second-order information,uses to assess impact
CBS (Combinatorial Brain Surgeon),joint effect of multiple weights,considers
CBS (Combinatorial Brain Surgeon),second-order (Hessian) information,makes use of
CBS (Combinatorial Brain Surgeon),computationally expensive,is
CHITA (Combinatorial Hessian-efficient free Iterative Thresholding Algorithm),optimization-based framework,is an
CHITA (Combinatorial Hessian-efficient free Iterative Thresholding Algorithm),network pruning at scale,proposed for
CHITA (Combinatorial Hessian-efficient free Iterative Thresholding Algorithm),local quadratic approximation,follows earlier works that consider
