node_1,node_2,edge
kernel machines,deep neural networks (DNNs),can perform similarly or better on small datasets
kernel machines,wide neural networks,equivalent in certain regimes
traditional kernel machines,model size,tied to data size
deep neural networks (DNNs),model size,can scale independently of data size
deep neural networks (DNNs),training data size,can scale independently of model size
large-scale general kernel models,kernel machines,generalization that decouples model and data
EigenPro 3.0,projected dual preconditioned SGD,based on
EigenPro 3.0,large-scale kernel models,enables scaling to large model and data sizes
EigenPro 3.0,PyTorch,implemented in
EigenPro 3.0,multiple GPUs,can take advantage of
model size,performance,depends on
number of model parameters N,scale,is a factor of
size of the dataset D,scale,is a factor of
amount of compute C,scale,is a factor of
scale,performance,determines
architectural hyperparameters,performance,depends weakly on
model size,number of training samples,both scaled for optimal performance
number of model parameters,compute,related to
number of model parameters,data size,related to
number of model parameters,performance,related to
DNNs,kernel machines,equivalent in special cases
Neural Tangent Kernel (NTK),fully-connected DNNs,used to understand behavior of
Neural Tangent Kernel (NTK),fully-connected DNNs,used to understand behavior in infinite width limit
Convolutional Neural Tangent Kernel (CNTK),convolutional neural networks,is the NTK for
CNTK,AlexNet,achieves accuracy comparable to
kernel machines,DNNs,potential alternative for
kernel machines,small datasets,perform similarly to DNNs on
kernel machines,tabular data,perform well on
kernel models,training set size,performance depends on scaling of
kernel models,model size,must scale with training set for optimal performance
