node_1,node_2,edge
Data contamination,Benchmark evaluations,challenges validity of
Benchmark overfitting,Number of model parameters,scales with
Benchmark overfitting,Number of times an example is seen,scales with
Benchmark overfitting,Number of training tokens,scales with
Chinchilla scaling laws,Minor contamination,leads to overfitting under
Contamination,Forgetting,can be forgotten if training data scaled beyond five times Chinchilla
Continual pre-training,OLMo-7B,corroborates results on
Weight decay parameter,Example forgetting,impacts
Empirical forgetting,Cumulative weight decay,occurs faster than
Example forgetting,Large-scale training runs,gauged in
Llama 3 405B,Data seen at beginning of training,has forgotten
machine learning model,test set,should not be trained on
foundation models,Internet-scale data,trained on
benchmark evaluation data,training data,leaked into
LLM developers,training data,found overlap between
training data,benchmark questions,overlaps with
memorization,text sequences,shows that
text sequences,training data,encoded from
data contamination,invalid performance evaluations,can lead to
data contamination,training data,occurs in
data contamination,downstream evaluations,impacts
memorization,sample repetition,depends on
knowledge acquisition,fact paraphrasing,requires
language models,contaminated data,trained on
benchmark overfitting,contaminated examples,caused by
cross-entropy loss,observed sample,measures
