node_1,node_2,edge
Simple Path Structural Encoding (SPSE),Graph transformers,enhances expressivity of
Simple Path Structural Encoding (SPSE),Relative Random Walk Probabilities (RRWP),overcomes limitations of
Simple Path Structural Encoding (SPSE),edge encoding,is a method for
Simple Path Structural Encoding (SPSE),simple path counts,utilizes
Simple Path Structural Encoding (SPSE),local cyclic patterns,captures
Relative Random Walk Probabilities (RRWP),edge representation,encodes structural and positional information into
Relative Random Walk Probabilities (RRWP),local graph patterns,cannot always distinguish edges belonging to different
Graph transformers,global self-attention,extends to graph-structured data
Graph transformers,graph learning,achieves success in
SPSE,approximate algorithm,proposes efficient for simple path counting
graph transformers,expressivity,enhances
graphs,social networks,represent relationships in
graphs,molecular structures,represent relationships in
graphs,citation graphs,represent relationships in
graph neural networks (GNNs),graph-structured data,learn from
graph neural networks (GNNs),localized message passing,rely on
localized message passing,long-range dependencies,fails to capture
localized message passing,structural patterns,fails to capture
transformers,graph learning problems,extended to
graph transformers,global self-attention,leverages
global self-attention,nodes,allows attending to all
global self-attention,graph nodes,allows each node to attend to all others
global self-attention,message-passing approaches,overcomes limitations of
positional encodings,directed acyclic graphs (DAGs),based on partial orderings for
positional encodings,general undirected graphs,rely on eigendecompositions of graph Laplacian for
eigendecompositions of graph Laplacian,sinusoidal encodings in sequence transformers,draws inspiration from
graph transformer architectures,initial message-passing steps,incorporate to encode local substructures
initial message-passing steps,node representations,focus on
structural edge encodings,self-attention mechanism,injected directly into
structural edge encodings,Laplacian eigenvectors,based on
structural edge encodings,heat kernels,based on
structural edge encodings,shortest path distances,based on
