node_1,node_2,edge
Natural gradient methods,Physics-Informed Neural Networks (PINNs),applied to
Natural gradient methods,"standard optimizers (ADAM, L-BFGS)",outperforms in accuracy
Natural gradient descent,computational cost,prohibitively high for large networks
Sketching algorithm,natural gradient descent,approximates
Gram matrix,natural gradient descent update,used in
Gram matrix,rapidly-decaying eigenvalues,has
Sketching algorithm,low-rank approximation of Gramian,provides near-optimal
Sketched natural gradient,original natural gradient,outperforms in accuracy
Sketched natural gradient,training time,reduces
Training time,"network with ~5,000 parameters",reduced from hours to under two minutes
Training time,"network with around 5,000 parameters",reduced from several hours to under two minutes
Training,large network sizes,can be practically scaled to
PINN,network with over a million parameters,optimized for within a few minutes
Full Gram matrix,network with over a million parameters,does not fit in memory for
Partial differential equations (PDEs),mathematical modelling and simulation,are fundamental in
PDEs,analytical solutions,lack
PDEs,numerically solved,must be
Deep learning,scientific computing,combined with
Physics-informed neural networks (PINNs),deep learning techniques,are one such technique of
PINNs,scientific computing and modelling,have appealing features for tackling challenges in
PINNs,data assimilation,used for
PINNs,data assimilation,used for
PINNs,multi-scale and multi-physics phenomena,used to model
PINNs,inverse problem solvers,used as
PINNs,parameter estimation,used for
PINNs,high-dimensional systems of PDEs,used to solve
PINNs,incomplete mechanistic understanding,combined with data
PINNs,optimization difficulties,exhibit
multi-scale problems,PINNs,difficult for
multiple frequencies,PINNs,difficult for
first-order methods,PINNs,unable to achieve appropriate accuracy
ADAM,first-order methods,example of
second-order optimizers,PINNs,fare better
BFGS,second-order optimizers,example of
L-BFGS,second-order optimizers,example of
natural energy gradients,PINNs,developed for
natural energy gradients,optimization difficulties,addresses
natural energy gradients,PDE residual,takes advantage of geometry in function space
