node_1,node_2,edge
Gaussian processes,ocean currents,used to model
Helmholtz decomposition,vector field,decomposes
divergence,curl-free components,part of Helmholtz decomposition
curl-free components,vector field,component of
divergence,current vector field,identified in
buoy velocities,ocean currents,sparse observations of
Gaussian processes,stationary kernel,uses
stationary kernel,buoy data,applied to
Helmholtz decomposition,Gaussian processes,proposed to improve
mixed partial derivatives,Helmholtz decomposition,relates to original vector field via
Ocean currents,"global distribution of water, heat, and nutrients",key to
Ocean currents,reconstructing ocean currents,task involves
Ocean currents,identifying divergences in the current vector field,task involves
reconstructing ocean currents,weather forecasting,facilitates
reconstructing ocean currents,maritime navigation,facilitates
reconstructing ocean currents,forecasting of oil spill dispersion,facilitates
current divergences,"transport of biomass, carbon, and nutrients",responsible for
"transport of biomass, carbon, and nutrients",ecosystem management,implications for
"transport of biomass, carbon, and nutrients",climate,implications for
"transport of biomass, carbon, and nutrients",fishing industry,implications for
researchers,GPS-tagged buoys,release and track
GPS-tagged buoys,ocean,released and tracked in
buoy data,currents,used to reconstruct
buoy data,divergences,used to reconstruct
buoy velocities,Gaussian processes (GPs),modeled according to
Gaussian processes (GPs),spatiotemporal kernels,use standard
velocity field,time,assumed stationary in
spatial GP prior,velocities,applied to
spatial GP prior,buoy observations,handles sparsity of
velocity GP,vortices,fails to complete
velocity GP,currents,fails to connect
velocity GP,divergence estimates,derives
divergence estimates,true divergence,fail to capture
fluid dynamics,motion of a volume element,models known behaviors from
