node_1,node_2,edge
Deep linear networks,Gradient descent dynamics,characterized by
Gradient descent dynamics,Random initialization,studied from
Deep linear networks,Large width,trained at
Deep linear networks,Random data,trained on
Wider is better effect,Mean-field/maximum-update parameterized networks,associated with
Hyperparameter transfer effects,Neural-tangent parameterization,contrasted with
Neural-tangent parameterization,Optimal learning rates,shifts with model width
Non-residual neural networks,Asymptotic descriptions,provided for
Residual neural networks,Asymptotic descriptions,provided for
Residual neural networks,Infinite depth limit,enables when branches scaled as 1/depth
One-pass stochastic gradient descent,Repeated training data,compared to
Power law structured data,Accelerated power law training dynamics,recovers in rich regime
hyperparameter search,computational savings,leads to
hyperparameter transfer,smaller sized models,from
hyperparameter transfer,larger sized models,to
training dynamics,neural networks,characterizes
training dynamics,nonlinear dynamics,complicated by
nonlinear dynamics,parameterization,depends on
nonlinear dynamics,weight initialization strategy,depends on
nonlinear dynamics,optimizer,depends on
nonlinear dynamics,data structure,depends on
gradient descent,random initial conditions,induced by
deep network training,tractable limits,insight gained from
tractable limits,large width networks,includes
tractable limits,large depth networks,includes
tractable limits,specialized architectures,includes
specialized architectures,deep linear networks,example of
training behavior,specific data distributions,studied under
specific data distributions,random isotropic data,example of
theoretical model,effect of varying width,captures
theoretical model,effect of varying depth,captures
theoretical model,effect of varying richness,captures
theoretical model,effect of varying data quantity,captures
theoretical model,learning dynamics,"captures effect of varying width, depth, richness, data quantity on"
hyperparameter transfer,model width,requires monotonic improvement in performance with
hyperparameter transfer,model depth,requires monotonic improvement in performance with
hyperparameter transfer,optimal learning rates,requires approximately consistent
deep linear networks,training dynamics,characterizes from random initialization on random data
deep linear networks,network width,captures effect of
deep linear networks,network depth,captures effect of
deep linear networks,dataset size,captures effect of
deep linear networks,feature learning strength,captures effect of
dynamical mean field theory (DMFT),deep linear neural networks,specific for
dynamical mean field theory (DMFT),train and test loss dynamics,characterizes in terms of closed set
