node_1,node_2,edge
Local Interpretability,Global Interpretability,compared via computational complexity perspective
Local Interpretability,Global Interpretability,duality between local and global forms of explanations
Global Explanation Forms,Uniqueness,inherent uniqueness of certain global explanation forms
Computational Complexity Theory,Local Interpretability,used to assess local interpretability
Computational Complexity Theory,Global Interpretability,used to assess global interpretability
Linear Models,Global Sufficient Subsets,selecting global sufficient subsets is computationally harder than local subsets
Linear Models,Local Sufficient Subsets,selecting local subsets is computationally easier than global subsets
Neural Networks,Local Sufficient Subsets,selecting local subsets is computationally harder than global subsets
Neural Networks,Global Sufficient Subsets,selecting global subsets is computationally easier than local subsets
Decision Trees,Local Sufficient Subsets,selecting local subsets is computationally harder than global subsets
Decision Trees,Global Sufficient Subsets,selecting global subsets is computationally easier than local subsets
P ≠ NP,Complexity of Explanation Selection,standard complexity assumption used to prove hardness results
local interpretability,global interpretability,correlation between
local interpretability,specific decisions,aimed at understanding
global interpretability,overall decision logic,aimed at understanding
interpretability,ML models,aspect of
interpretability,safety,plays key role in ensuring
interpretability,transparency,plays key role in ensuring
interpretability,fairness,plays key role in ensuring
computational complexity lens,inherent interpretability,helps develop rigorous grasp of
linear classifier,local decisions,weights used in interpreting
linear classifier,global behavior,weights may not be used for
interpretability,computational complexity theory,analyzed through the perspective of
ML model,interpretability,is considered interpretable if explanation can be computed efficiently
ML model,uninterpretable,is regarded as uninterpretable if deriving explanation is computationally intractable
explanation,computational complexity,involves complexity of obtaining explanations
local interpretability,global interpretability,distinguished from
local explanations,local interpretability,enables formal analysis of
formal computational-complexity-based framework,local interpretability,evaluates
formal computational-complexity-based framework,global interpretability,evaluates
