node_1,node_2,edge
Reinforcement Learning (RL),Value Function,uses
Value Function,Online Network,updated by
Value Function,Target Network,updated by
Online Network,Target Network,parameter equivalence maintained between
Lookahead-Replicate (LR),Value Function,approximates
Lookahead-Replicate (LR),Target Network,updates
Lookahead-Replicate (LR),Function Space,maintains equivalence in
Target Network,Function Space,equivalence maintained in
LR-based Target-Network Update,Deep RL,improves
Deep RL,Atari Benchmark,evaluated on
"TD (Sutton, 1988)",Value Function,learns
Q-learning,Value Function,learns
DQN,Value Function,learns
Actor-Critic,Value Function,uses
Dyna Architecture,Value Function,uses
model-based RL,Dyna Architecture,example of
value function,Bellman operator,is fixed point of
value function approximation,hypothesis class,uses
hypothesis class,neural networks,example of
value function approximation,Bellman equation,solves
Bellman equation,"parameters (θ, w)",solved using
"parameters (θ, w)",target and online networks,analogous to
target and online networks,DQN,used in
"parameters (θ, w)",target and online networks in DQN,analogous to
algorithms,"pair (θ, w)",designed to find
"pair (θ, w)",two constraints,jointly satisfy
first constraint,function-space constraint,is a
function-space constraint,Bellman equation vw = T vθ,solves
second constraint,parameter-space constraint,is a
parameter-space constraint,θ = w,requires
satisfying parameter-space constraint,single value function,guarantees learning
reformulation,original formulation,substitutes parameter-space constraint with function-space constraint
reformulation,second function-space constraint vθ = vw,imposes
value function,"pair of parameters (θ, w)",parameterized by
θ,w,not necessarily equal to
two parameters θ ≠ w,equivalent value functions vθ = vw,correspond to
finding such a pair,overparameterized setting,doable in
