node_1,node_2,edge
One-max search,online decision-making,is a classic problem in
One-max search,trader,involves a
trader,sequence of revealed prices,acts on
trader,profit,maximizes
One-max search,probabilistic settings,studied in
One-max search,worst-case settings,studied in
One-max search,competitive analysis,notably studied through
One-max search,learning-augmented settings,recently studied in
learning-augmented settings,prediction,trader has access to
existing approaches,smoothness,lack
existing approaches,optimal worst-case guarantees,do not achieve
algorithm,consistency,trade-off between
algorithm,robustness,trade-off between
first algorithm,both objectives,simultaneously achieves
smoothness,stochastic learning-augmented settings,leveraged to provide analysis of
stochastic learning-augmented settings,randomness,captures
randomness,observed prices,in
randomness,prediction,in
machine learning,complex patterns,provides ability to learn
algorithm designer,prediction oracle,incorporates
learning-augmented algorithms,prediction oracle,incorporates
learning-augmented algorithms,algorithm designer,designed by
learning-augmented algorithms,ML techniques,leverages
learning-augmented algorithms,online decision making,applied to
prediction oracle,input items,provides information on
online decision making,sequence of items,processes
algorithm,irrevocable decision,makes
theoretical evaluation,learning-augmented algorithms,challenging aspect of
competitive ratio,prediction-free setting,worst-case measure in
online algorithms,theoretical evaluation,subject of
competitive ratio,online algorithms,evaluates
learning-augmented settings,prediction error,incorporates effect of
consistency,learning-augmented settings,desideratum for
robustness,learning-augmented settings,desideratum for
smoothness,learning-augmented settings,desideratum for
consistency,accurate prediction,requires
robustness,arbitrarily inaccurate predictions,tolerates
smoothness,prediction error,decays with
competitive analysis,worst-case performance,evaluates
one-max-search problem,financial trading,models
online algorithm,one-max-search problem,solves
competitive analysis,accepted price,compares to maximum price
