node_1,node_2,edge
differentially private algorithms,graph cut sparsification,studies
graph cut sparsification,n-node graphs,applied to
private and efficient cut sparsifiers,additive error,achieves
private and efficient cut sparsifiers,multiplicative error,achieves
inefficient algorithms,additive error,achieves
inefficient algorithms,multiplicative error,achieves
this work,n1.5 additive error barrier,breaks
this work,private synthetic graph,outputs
private synthetic graph,non-negative weighted graph,approximates
private algorithm,expander decomposition,uses
expander decomposition,graph algorithms,technique in
graph algorithms,non-private algorithms,are a type of
personal data,social networks,used in
personal data,medical data analysis,used in
traditional algorithms,non-private algorithms,are
sensitivity to input changes,privacy breaches,leads to
privacy concerns,research on privacy-preserving algorithms,drives
graphs,machine learning,are ubiquitous in
graphs,data processing,are ubiquitous in
graphs,privacy-preserving settings,studied in
private algorithms,graph cuts,designed for
cut queries,social networks,are crucial in analyzing
private algorithms,graph cuts,designed in the context of
cut queries,social networks,used in
cut queries,community connectivity,analyze
releasing connectivity information,user privacy,compromises
synthetic graph,original graph,constructed from same node set preserving approximate cut values
differential privacy (DP),private algorithm,standard notion of privacy for
differential privacy (DP),neighboring inputs,ensures outputs are statistically indistinguishable for
algorithm A,"(ε, δ)-DP",satisfies
pure-DP,approximate-DP,distinguished by δ = 0 vs δ > 0
edges-neighboring,graphs,notion of neighboring graphs in
edges-neighboring,single edge difference,defined by
weighted graphs,neighboring graphs,differ by total edge weight at most one in a single edge
