node_1,node_2,edge
STRIDERNET,graph reinforcement learning,is a type of
STRIDERNET,atomic structure optimization,applied to
atomic structure optimization,rough energy landscapes,characterized by
STRIDERNET,low energy configurations,displaces atoms towards
STRIDERNET,binary Lennard-Jones particles,evaluated on
STRIDERNET,calcium silicate hydrates gel,evaluated on
STRIDERNET,disordered silicon,evaluated on
STRIDERNET,classical optimization algorithms,outperforms
STRIDERNET,inductivity,exhibits
inductivity,unseen system sizes,applies to
optimization of atomic structures,drug design,has applications in
optimization of atomic structures,materials discovery,has applications in
optimization of atomic structures,mechanics,has applications in
optimization,mechanical structures,applied in design of
optimization,robotics and motion planning,applied in
optimization,materials,applied in
optimization,biological systems,applied in
optimization,proteins,applied in
materials discovery,stable structures of atomic systems,relies on finding
stable structures of atomic systems,new battery materials,example of
stable structures of atomic systems,novel drugs,example of
stable structures of atomic systems,ultralight super-hard materials,example of
optimization,materials discovery,used for
materials predicted through optimization,experiments and tests,verified and validated through
experiments and tests,industrial applications,used for
given material,large number of possible structures,can yield
configurational variations,large number of possible structures,lead to
material,configurational arrangements,can have various
configurational arrangements,structures,produce
Lennard-Jones system,potential energy,has
Lennard-Jones system,atom positions,has
atomic clusters,minima,can have many
energy landscape,local minima,contains
local minima,high energy barriers,separated by
optimization problem,atomic structures,applied to
fast inertial relaxation engine (FIRE),optimization of atomic structures,proposed for
gradient-based approaches,optimization of atomic structures,proposed for
perturbation-based approaches,optimization of atomic structures,proposed for
Bayesian approaches,optimization of atomic structures,proposed for
evolutionary algorithms,optimization of atomic structures,proposed for
learned optimizers,optimization of atomic structures,proposed for
classical approaches,drawbacks,present
