node_1,node_2,edge
Transformers,multi-step factual reasoning,exhibit gaps in
grokking,neural networks,demonstrates transition from memorizing to generalizing in
grokking,small synthetic tasks,primarily studied using
this paper,grokking,extends to real-world factual data
dataset sparsity,knowledge graphs,addressed by augmenting
synthetic data,ratio ϕr of inferred facts to atomic facts,raises
factually incorrect synthetic data,emergent reasoning circuits,strengthens
model,relational structure,relies on rather than memorization
approach,2WikiMultiHopQA,achieves up to 95–100% accuracy on
increasing ϕr,formation of generalizing circuits,drives
Transformers,natural language processing (NLP) tasks,demonstrate success across
Transformers,memorization,tendency to memorize rather than generalize
grokking-based data augmentation,implicit multi-hop reasoning capabilities,unlocks
increasing ϕr,formation of generalizing circuits,drives
generalizing circuits,Transformers,formed inside
2WikiMultiHopQA,average accuracy,measured on
grokking,overparameterized neural networks,phenomenon observed in
grokking,pure memorization,transition from
grokking,near-perfect generalization,transition to
grokking,long training,occurs after
grokking,threshold ratio ϕ,triggered by
grokking,generalizing circuit,emerges as
grokking,real-world datasets,challenging to apply to
real-world datasets,sparse factual knowledge,characterized by
real-world datasets,noisy knowledge graphs,often scattered across
knowledge-intensive tasks,insufficiently rich data distributions,challenged by
GPT2-small,124 million parameters,has
GPT2-small (grokked version),2WikiMultiHopQA,achieves near 100% accuracy on
GPT2-small (grokked version),gpt-4o,beats
GPT2-small (grokked version),o1-mini,beats
internal circuit-formation process,grokking,enables
higher-order inferred facts,atomic facts,ratio relative to
data augmentation,real-world multi-hop reasoning,used for
