node_1,node_2,edge
OptiMUS,Large Language Model (LLM)-based agent,is a
OptiMUS,optimization problems,formulates and solves
optimization problems,natural language descriptions,derived from
OptiMUS,mathematical models,develops
OptiMUS,solver code,writes and debugs
OptiMUS,generated solutions,evaluates
OptiMUS,modular structure,utilizes
modular structure,long descriptions and complex data,handles
OptiMUS,existing state-of-the-art methods,outperforms
NLP4LP,dataset,is a new
NLP4LP,long and complex problems,features
optimization problems,manufacturing and distribution to healthcare,pervasive in sectors such as
optimization problems,heuristic methods,often solved by
state-of-the-art solvers,optimization tools and techniques,are part of
expertise,formulation and solution of optimization problems,limits widespread adoption of
Optimization problems,Operations,common in
Optimization problems,Economics,common in
Optimization problems,Engineering,common in
Optimization problems,Computer science,common in
Optimization,Reducing energy costs,application includes
Optimization,Improving supply chains,application includes
Optimization,Increasing profits in algorithmic trading,application includes
Optimization algorithms,Linear programming (LP),method for
Optimization algorithms,Mixed-integer linear programming (MILP),method for
Optimization modeling,Expert knowledge,requires
Optimization modeling,Business problem,transforms
Optimization modeling,Mathematical optimization problem,transforms into
Gurobi’s commercial solver users,Advanced degrees,81% have
Gurobi’s commercial solver users,Operations research,49% hold degree in
Expertise gap,Organizations,prevents from using optimization
Optimization,Inventory management,example application
organizations,optimization,many organizations are prevented from using optimization
optimization,inventory management,example application of optimization
optimization,patient operations,example application of optimization
optimization,transportation policies,example application of optimization
optimization,energy management,example application of optimization
optimization,operations in small businesses or NGOs,example application of optimization
automating optimization modeling,sectors that cannot afford optimization experts,would allow these sectors to improve efficiency
large language models (LLMs),optimization,offer a promising way to make optimization more accessible
LLMs,formulating problems,can make it easier to formulate problems
LLMs,obtaining solutions,can make it easier to obtain solutions
LLMs,real-life optimization problems,challenges remain before LLMs can reliably model
ambiguous terms,optimization problem,challenge: ambiguous terms can describe an optimization problem in many ways
