node_1,node_2,edge
Learning Globally Smooth Functions on Manifolds,semi-infinite constrained learning,combines techniques from
Learning Globally Smooth Functions on Manifolds,manifold regularization,combines techniques from
learning a Lipschitz continuous function on a manifold,dynamically weighted manifold regularization problem,is equivalent to
dynamically weighted manifold regularization problem,weighted Laplacian penalty,leads to a practical algorithm based on
weighted Laplacian penalty,stochastic gradient techniques,weights are adapted using
method,Lipschitz constant of the solution,estimates
method,globally smooth solution,learns as a byproduct
smoothness,low dimensional structures,play central roles in improving generalization and stability
Lipschitz continuity of input-output maps,stability and safety,translates to
Lipschitz continuity,input-output maps,property of
Lipschitz continuity,stability,translates to
Lipschitz continuity,safety,translates to
smooth functions,smooth parameterization,learned by requiring
spectral normalization,neural networks,applied to weights in
smooth parameterizations,globally smooth,advantage of being
smooth parameterizations,restrictive,may be
Lipschitz penalties,risk minimization,used in
risk minimization,penalties,uses penalties to encourage small Lipschitz constants
penalties,Lipschitz constants,encourage but do not enforce small values
risk minimization,smoothness on average,results in functions that are smooth on average
smoothness on average,global smoothness guarantees,lacks global guarantees
risk minimization,Lipschitz constant constraint,modified by addition of constraint to guarantee global smoothness
Lipschitz constant constraint,global smoothness,guarantees global smoothness for all possible inputs
global smoothness,input data distribution,enforced without drawback of enforcing smoothness outside distribution
data,low-dimensional manifold,can be modeled as points in
manifold Lipschitz constants,data manifold,assess smoothness with respect to distances over
manifold Lipschitz constants,ambient space Lipschitz constants,different from controlling
