node_1,node_2,edge
Contextual optimization,Model misspecification,is affected by
Model misspecification,Suboptimal decisions,leads to
Integrated Learning and Optimization (ILO) framework,Model misspecification,accounts for
Integrated Learning and Optimization (ILO) framework,Surrogate loss function,introduces
Surrogate loss function,Generalizability,provides theoretical guarantees on
Surrogate loss function,Tractability,provides theoretical guarantees on
Surrogate loss function,Optimality,provides theoretical guarantees on
Surrogate loss function,True decision performance objective,aligns with
Surrogate loss function,Non-convexity,mitigates challenges of
Surrogate loss function,Non-smoothness,mitigates challenges of
Proposed approach,State-of-the-art methods,outperforms
contextual optimization,decision-making problems,is used for
contextual optimization,uncertain parameters,optimizes decisions based on
contextual optimization,policy,learns a
policy,contexts,maps
policy,decisions,maps to
cost vector,context,correlated with
model misspecification,contextual optimization,challenge in
superior performance,state-of-the-art methods,compared to
traffic routing,contextual optimization,example of
historical data,contextual optimization,used by
P,"joint distribution of (x, c)",is defined as
Π,set of feasible policies,is defined as
feasible policies,contexts,map
feasible policies,decisions,map to
decisions,bounded convex set W ⊂ Rd,belong to
true cost function,unknown,is
true cost function,prediction model,approximated by
prediction model,hypothesis class H,belongs to
predict-then-optimize approach,predictor ˆc(x),learns
predictor ˆc(x),H,learned from
predict-then-optimize approach,decision ˆπ(x),selects
decision ˆπ(x),ˆc(x)⊤w,minimizes
Sequential Learning and Optimization (SLO),minimizing prediction error,focuses on
Sequential Learning and Optimization (SLO),downstream optimization task,ignores
Integrated Learning and Optimization (ILO),decision performance,prioritizes
Integrated Learning and Optimization (ILO),accurate cost prediction,prioritizes over
Integrated Learning and Optimization (ILO),cost prediction,refines
Integrated Learning and Optimization (ILO),downstream decisions,improves
H,true cost function,assumed to contain
H,well-specified,is assumed to be
H,misspecified,can be
misspecified H,predictor,does not contain
predictor,true cost function,perfectly captures
misspecification,incomplete feature sets,can arise from
misspecification,unmodeled dependencies,can arise from
misspecification,distribution shifts,can arise from
