node_1,node_2,edge
Aleatoric uncertainty,Epistemic uncertainty,are contrasted as two types of uncertainty
Aleatoric uncertainty,statistical dispersion in data,is associated with
Epistemic uncertainty,knowledge,relates to
Aleatoric and Epistemic uncertainty,probabilistic predictions of machine-learning models,are used to reason about
Aleatoric-epistemic view,distinct quantities researchers are interested in,is insufficiently expressive to capture
Decision-theoretic perspective,"notions of uncertainty, predictive performance and statistical dispersion",relates
Information-theoretic quantities,estimators of what they are purported to measure,can be poor
Information-theoretic quantities,guiding data acquisition,can still be useful in
Aleatoric uncertainty,statistical dispersion,associated with
Epistemic uncertainty,model’s internal information state,associated with
Aleatoric uncertainty,noise,sometimes thought of as
model-based predictions,data-generating processes,line between them is repeatedly blurred
uncertainty,unseen data,tenuous assumptions about decomposition on
uncertainty,predictive accuracy,misleading connections drawn between
epistemic uncertainty,density-based quantities,variously defined using
epistemic uncertainty,information-based quantities,variously defined using
epistemic uncertainty,variance-based quantities,variously defined using
aleatoric-epistemic view,machine learning,is considered too simplistic in the context of
predictive uncertainty,more data,may change with
predictive uncertainty,irreducible and reducible components,associated with decomposition into
predictive uncertainty,predictive performance,related to
predictive uncertainty,data dispersion,related to
aleatoric-epistemic view,conceptual overloading,leads to
conceptual overloading,conflating distinct quantities,results in
decision theory,aleatoric-epistemic view,offers a clearer perspective than
decision theory,loss function,includes
predictive uncertainty,subjective expected loss,formalised as
