node_1,node_2,edge
InfAlign,language model alignment,is a framework for
language model alignment,generative language models,is a critical step in training
alignment,win rate,aims to improve
inference-time algorithms,language models,are used to decode from
standard RL framework,inference-time methods,is sub-optimal in view of
InfAlign,inference-time win rate,aims to optimize
optimal aligned policy,standard RLHF problem,is the solution to
InfAlign-CTRL algorithm,InfAlign,is an algorithm for
InfAlign-CTRL algorithm,reward calibration,involves a step of
InfAlign-CTRL algorithm,KL-regularized reward maximization,involves a step of
best-of-N sampling,inference-time win rate,offers improvement on
best-of-N jailbreaking,inference-time win rate,offers improvement on
RLHF,reward model,trains
RLHF,KL-regularized RL problem,solves
standard RLHF,inference-time procedure,suffers from train/test mismatch
train-time policy π,inference-time policy Tπ,mismatch between
InfAlign,standard RLHF,bridges gap of
InfAlign,policy-transformed reward R,optimizes
policy-transformed reward R,policy π*,yields
policy π*,inference under Tπ*,optimized for
best-of-N sampling,reward calibration method,proposes specific transformations for
best-of-N jailbreaking,reward calibration method,proposes specific transformations for
reward calibration method,inference-time win rates,offers 3-8% improvement on
reward calibration method,standard win rate,strong baseline for optimizing
RLHF,reward model,entails training
RLHF,KL-regularized RL problem,solves
RLHF,direct preference optimization,includes variants of
RLHF,reward model distillation,includes
RLHF,Best-of-N distillation,includes
RLHF,win rate,measured through
win rate,aligned model,compares against base model
aligned model,inference-time procedure,used with
inference-time procedure,best-of-N sampling,includes
inference-time procedure,best-of-N jailbreaking,includes
inference-time procedure,chain-of-thought reasoning,includes
inference-time procedure,self consistency,includes
InfAlign,inference-aware alignment,is a family of optimization objectives for
InfAlign,language model,aligns to be served with inference-time procedure
