node_1,node_2,edge
Probably Approximately Global Robustness Certification,probabilistic guarantees,provides
probabilistic guarantees,adversarial robustness,for
traditional formal verification,robustness,is intractable for
sampling-based approaches,formal guarantees,do not provide
Probably Approximately Global Robustness Certification,probabilistic relaxation of robustness,certifies
epsilon-net,local robustness oracle,samples and invokes
sample size,input dimensionality,is independent of
sample size,number of classes,is independent of
sample size,learning algorithm,is independent of
Probably Approximately Global Robustness Certification,large neural networks,can be applied to
traditional formal verification,large neural networks,is beyond scope of
experiments,state-of-the-art sampling-based approaches,characterizes robustness better than
experiments,formal methods,scales better than
robustness,quantitative property,is a
robustness,classifier’s confidence,depends on
global robustness,robustness,is a novel notion of
global robustness,prediction confidence,quantifies robustness given
local robustness,global robustness,is checked to obtain guarantee of
sample of points,local robustness,is used to check
sample size,ϵ-nets,is quantified using
ϵ-nets,learning-theoretic construct,is a
approach,method for local robustness checks,is agnostic to
Neural Network (NN) robustness,major desideratum,is a
non-robust networks,predictions,can be drastically changed with small perturbations
small perturbations,input,applied to
robustness evaluation,safety-critical applications,is critical for
safety-critical applications,autonomous driving,includes
safety-critical applications,image recognition,includes
Neural Networks (NNs),robustness,are evaluated for
formal verification methods,local robustness,certify
formal verification methods,global robustness certification,extended to
adversarial methods,adversarial attacks,assess whether NNs can withstand
adversarial methods,local optimization,rely on
our approach,quantitative characterization of robustness,provides
our approach,high-probability lower bound,gives for each point in input space
local robustness oracle,existing methods (formal or adversarial),can be modeled using
sample size,our approach,required by
