node_1,node_2,edge
Test-time training (TTT),Language models (LMs),improves reasoning and few-shot learning capabilities of
Test-time training (TTT),In-context examples,uses loss derived from
Test-time training (TTT),Abstraction and Reasoning Corpus (ARC),yields up to 6× higher accuracy on
Test-time training (TTT),BIG-Bench Hard (BBH),surpasses standard few-shot prompting on
In-context learning,Novel tasks,has limitations for
Test-time training (TTT),Language model adaptability,enhances
Program-synthesis methods,Test-time training (TTT),ensembled with
language models (LMs),few-shot learning,demonstrate success on
language models (LMs),tasks seen during pre-training,related to
language models (LMs),elementary variations or compositions of tasks,perform
language models (LMs),natural language specifications,given
language models (LMs),small number of examples,given
language models (LMs),desired task,infer
language models (LMs),appropriate outputs,generate
open question,language models (LMs),whether can acquire new skills
new skills,"non-trivial reasoning, planning, and abstraction",involve
new skills,domains differing from pre-training distributions,in
"flexible, novel-skill acquisition",measure of intelligence,proposed as
TTT (Test-Time Training),fine-tuned models (FT),boosts performance on ARC
TTT (Test-Time Training),accuracy on BIG-Bench Hard,increases
"flexible, novel-skill acquisition",measure of intelligence,proposed as
solving complex and novel tasks,language models (LMs),remains extremely challenging for
simple sampling approaches,complex and novel tasks,yield poor performance on
language models (LMs),extra test-time computation,improved by adding
extra test-time computation,chain-of-thought prompting,includes method
extra test-time computation,sampling with majority voting (self-consistency),includes method
extra test-time computation,code execution,includes method
extra test-time computation,search,includes method
updating model parameters using instance-specific data at test time,local learning,has roots in
updating model parameters using instance-specific data at test time,transductive learning,has roots in
local learning,"Bottou & Vapnik, 1992",attributed to
transductive learning,"Joachims, 1999",attributed to
test-time training,transductive ideas,modern version of
test-time training,few-shot learning,effective for
